coordinate_id,constructor,search_stratum,within_stratum_rank,round_robin_order,J_search,status
ID(cerqtit6),C0,C0:CER,1,1,0.7600385006725702,IN_EXPANSION_SHORTLIST
ID(prmtan_neped),C0,C0:DEN,1,2,0.49964948280582194,IN_EXPANSION_SHORTLIST
ID(ece39),C0,C0:ECE,1,3,0.8274946438678779,IN_EXPANSION_SHORTLIST
ID(fs03da),C0,C0:FS,1,4,0.7102537791817808,IN_EXPANSION_SHORTLIST
ID(gasd),C0,C0:GAS,1,5,0.8755343029565335,IN_EXPANSION_SHORTLIST
ID(pcdiamag3),C0,C0:MAG,1,6,0.596620874977544,IN_EXPANSION_SHORTLIST
ID(pinj),C0,C0:NBI,1,7,0.5949472992383463,IN_EXPANSION_SHORTLIST
ID(cerqtit8),C0,C0:CER,2,8,0.7605772709892898,IN_EXPANSION_SHORTLIST
ID(prmtan_teped),C0,C0:DEN,2,9,0.9744196193197545,IN_EXPANSION_SHORTLIST
ID(ece38),C0,C0:ECE,2,10,0.8457752090396182,IN_EXPANSION_SHORTLIST
ID(fs04),C0,C0:FS,2,11,0.725020511608039,IN_EXPANSION_SHORTLIST
ID(gasa),C0,C0:GAS,2,12,0.9013856981902488,IN_EXPANSION_SHORTLIST
ID(bt),C0,C0:MAG,2,13,0.7440768740825247,IN_EXPANSION_SHORTLIST
ID(tinj),C0,C0:NBI,2,14,0.7123163120654089,IN_EXPANSION_SHORTLIST
ID(cerqtit10),C0,C0:CER,3,15,0.7876682722903168,IN_EXPANSION_SHORTLIST
ID(ece3),C0,C0:ECE,3,16,0.8768093219809223,IN_EXPANSION_SHORTLIST
ID(fs05da),C0,C0:FS,3,17,0.7328631393145304,IN_EXPANSION_SHORTLIST
ID(gasc),C0,C0:GAS,3,18,0.9747250486806955,IN_EXPANSION_SHORTLIST
ID(ip),C0,C0:MAG,3,19,0.8452747096679959,IN_EXPANSION_SHORTLIST
ID(pinj_30l),C0,C0:NBI,3,20,0.7361811969264878,IN_EXPANSION_SHORTLIST
ID(cerqtit3),C0,C0:CER,4,21,0.8191235416208968,IN_EXPANSION_SHORTLIST
ID(ece37),C0,C0:ECE,4,22,0.8826290708912412,IN_EXPANSION_SHORTLIST
ID(gasb),C0,C0:GAS,4,23,2.1527956012786404,IN_EXPANSION_SHORTLIST
ID(pcbcoil),C0,C0:MAG,4,24,1.0431467528002059,IN_EXPANSION_SHORTLIST
ID(pinj_15l),C0,C0:NBI,4,25,0.7548933244795244,IN_EXPANSION_SHORTLIST
ID(cerqtit11),C0,C0:CER,5,26,0.8327879976123738,IN_EXPANSION_SHORTLIST
ID(ece35),C0,C0:ECE,5,27,0.887662134021293,IN_EXPANSION_SHORTLIST
ID(pinj_30r),C0,C0:NBI,5,28,0.8775886809531903,IN_EXPANSION_SHORTLIST
ID(cerqtit12),C0,C0:CER,6,29,0.8864076601889025,IN_EXPANSION_SHORTLIST
ID(ece36),C0,C0:ECE,6,30,0.8897157089754218,IN_EXPANSION_SHORTLIST
ID(pinj_33r),C0,C0:NBI,6,31,0.9839952935036822,IN_EXPANSION_SHORTLIST
ID(cerqrott6),C0,C0:CER,7,32,0.9143040087181253,IN_EXPANSION_SHORTLIST
ID(ece4),C0,C0:ECE,7,33,0.8947910037082798,IN_EXPANSION_SHORTLIST
ID(cerqrott8),C0,C0:CER,8,34,0.9542265552245208,IN_EXPANSION_SHORTLIST
ID(ece14),C0,C0:ECE,8,35,0.895825416451172,IN_EXPANSION_SHORTLIST
ID(cerqtit13),C0,C0:CER,9,36,0.9554168751507944,IN_EXPANSION_SHORTLIST
ID(ece2),C0,C0:ECE,9,37,0.8977410373140418,IN_EXPANSION_SHORTLIST
ID(cerqrott3),C0,C0:CER,10,38,0.9584443526632528,IN_EXPANSION_SHORTLIST
ID(ece15),C0,C0:ECE,10,39,0.8990251494131958,IN_EXPANSION_SHORTLIST
ID(cerqrott12),C0,C0:CER,11,40,0.9840085697528063,IN_EXPANSION_SHORTLIST
ID(ece13),C0,C0:ECE,11,41,0.901744667608671,IN_EXPANSION_SHORTLIST
ID(cerqrott10),C0,C0:CER,12,42,1.0211809993154204,IN_EXPANSION_SHORTLIST
ID(ece1),C0,C0:ECE,12,43,0.9028209312828677,IN_EXPANSION_SHORTLIST
ID(cerqrott13),C0,C0:CER,13,44,1.0252504514055427,IN_EXPANSION_SHORTLIST
ID(ece33),C0,C0:ECE,13,45,0.9115313061162362,IN_EXPANSION_SHORTLIST
ID(cerqrott11),C0,C0:CER,14,46,1.0360884927940557,IN_EXPANSION_SHORTLIST
ID(ece16),C0,C0:ECE,14,47,0.9157528272979804,IN_EXPANSION_SHORTLIST
ID(ece22),C0,C0:ECE,15,48,0.917371488490115,IN_EXPANSION_SHORTLIST
ID(ece25),C0,C0:ECE,16,49,0.9240688163098685,IN_EXPANSION_SHORTLIST
ID(ece12),C0,C0:ECE,17,50,0.9254155341928672,IN_EXPANSION_SHORTLIST
ID(ece8),C0,C0:ECE,18,51,0.9279457450313512,IN_EXPANSION_SHORTLIST
ID(ece9),C0,C0:ECE,19,52,0.9298890882801532,IN_EXPANSION_SHORTLIST
ID(ece7),C0,C0:ECE,20,53,0.932060103660941,IN_EXPANSION_SHORTLIST
ID(ece28),C0,C0:ECE,21,54,0.9337889572758821,IN_EXPANSION_SHORTLIST
ID(ece21),C0,C0:ECE,22,55,0.9342112320791667,IN_EXPANSION_SHORTLIST
ID(ece11),C0,C0:ECE,23,56,0.9348202169381785,IN_EXPANSION_SHORTLIST
ID(ece5),C0,C0:ECE,24,57,0.9352451419083861,IN_EXPANSION_SHORTLIST
ID(ece18),C0,C0:ECE,25,58,0.9382477278066382,IN_EXPANSION_SHORTLIST
ID(ece19),C0,C0:ECE,26,59,0.9392537605912011,IN_EXPANSION_SHORTLIST
ID(ece10),C0,C0:ECE,27,60,0.942190306577122,IN_EXPANSION_SHORTLIST
ID(ece6),C0,C0:ECE,28,61,0.9428518112757134,IN_EXPANSION_SHORTLIST
ID(ece20),C0,C0:ECE,29,62,0.9452265189597793,IN_EXPANSION_SHORTLIST
ID(ece29),C0,C0:ECE,30,63,0.9466197227543607,IN_EXPANSION_SHORTLIST
ID(ece27),C0,C0:ECE,31,64,0.9571995710345865,IN_EXPANSION_SHORTLIST
ID(ece30),C0,C0:ECE,32,65,0.9669868542365265,IN_EXPANSION_SHORTLIST
ID(ece31),C0,C0:ECE,33,66,0.970887783158547,IN_EXPANSION_SHORTLIST
DOT(cerqrott3),C1,C1:CER,1,1,1.0083458198214124,IN_EXPANSION_SHORTLIST
