support_size,label,support_id,J_search,constructor_composition,ancestor_family_composition,n_supports_of_this_size_in_Ahat_rec,is_optimal,is_qualified,is_final,is_C_star,note
1,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_1,"RATIO(ece16,cerqtit10)",0.4801024362475679,C3,cer_rotation_ti+ece_te_profile,10778,False,False,False,False,descriptive property of Ahat_rec only
2,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_2,"ID(pcdiamag3)|RATIO(prmtan_neped,ece22)",0.3389601630216251,C0+C3,density+ece_te_profile+magnetics,8126,False,False,False,False,descriptive property of Ahat_rec only
3,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_3,"ID(pcdiamag3)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)",0.2555021598228232,C0+C2+C2,density+ece_te_profile+magnetics,12462,False,False,False,False,descriptive property of Ahat_rec only
4,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_4,"ID(pcdiamag3)|PROD(ece37,ece39)|RATIO(prmtan_neped,ece22)|RECIP(cerqtit10)",0.224900116054429,C0+C2+C3+C5,cer_rotation_ti+density+ece_te_profile+magnetics,14376,False,False,False,False,descriptive property of Ahat_rec only
5,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_5,"ID(pcdiamag3)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",0.2058802756762617,C0+C2+C2+C3+C3,cer_rotation_ti+density+ece_te_profile+magnetics,14423,False,False,False,False,descriptive property of Ahat_rec only
6,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_6,"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",0.2012188987011559,C0+C2+C2+C2+C3+C3,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+magnetics,14366,False,False,False,False,descriptive property of Ahat_rec only
7,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_7,"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ip,ece22)|RECIP(cerqtit10)",0.1921771205745306,C0+C2+C2+C2+C2+C3+C5,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+gas_injection+magnetics,14568,False,False,False,False,descriptive property of Ahat_rec only
8,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_8,"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(ip,ece22)|RECIP(cerqtit10)",0.1860241031694649,C0+C2+C2+C2+C2+C2+C3+C5,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+gas_injection+magnetics+neutral_beams,14507,False,False,False,False,descriptive property of Ahat_rec only
9,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_9,"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",0.1822197035351098,C0+C2+C2+C2+C2+C2+C3+C3+C3,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+gas_injection+magnetics,14784,False,False,False,False,descriptive property of Ahat_rec only
10,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_10,"ID(pcdiamag3)|PROD(bt,bt)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",0.1758757752276368,C0+C2+C2+C2+C2+C2+C2+C3+C3+C3,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+gas_injection+magnetics,14855,False,False,False,False,descriptive property of Ahat_rec only
11,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_11,"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",0.1689629262075367,C0+C0+C2+C2+C2+C2+C3+C3+C3+C5+C5,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+gas_injection+magnetics+neutral_beams,14857,False,False,False,False,descriptive property of Ahat_rec only
12,LOWEST_NAVIGATION_SCORE_SUPPORT_AT_SIZE_12,"ID(pcdiamag3)|ID(prmtan_neped)|PROD(bt,cerqtit6)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",0.1662815155877082,C0+C0+C2+C2+C2+C2+C2+C3+C3+C3+C5+C5,cer_rotation_ti+density+ece_te_profile+filterscope_dalpha+gas_injection+magnetics+neutral_beams,14743,False,False,False,False,descriptive property of Ahat_rec only
