path_id,lane,step,support_size,seed_id,seed_stratum,coordinate_ids,added_coordinate,proposed_from_stratum,J_search,rank_status,retained_on_path
R_P001,RAW_ONLY,1,1,ID(cerqtit6),C0:CER,ID(cerqtit6),ID(cerqtit6),C0:CER,0.7600385006725702,FULL_RANK,True
R_P002,RAW_ONLY,1,1,ID(prmtan_neped),C0:DEN,ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.49964948280582194,FULL_RANK,True
R_P003,RAW_ONLY,1,1,ID(ece39),C0:ECE,ID(ece39),ID(ece39),C0:ECE,0.8274946438678779,FULL_RANK,True
R_P004,RAW_ONLY,1,1,ID(fs03da),C0:FS,ID(fs03da),ID(fs03da),C0:FS,0.7102537791817808,FULL_RANK,True
R_P005,RAW_ONLY,1,1,ID(gasd),C0:GAS,ID(gasd),ID(gasd),C0:GAS,0.8755343029565335,FULL_RANK,True
R_P006,RAW_ONLY,1,1,ID(pcdiamag3),C0:MAG,ID(pcdiamag3),ID(pcdiamag3),C0:MAG,0.596620874977544,FULL_RANK,True
R_P007,RAW_ONLY,1,1,ID(pinj),C0:NBI,ID(pinj),ID(pinj),C0:NBI,0.5949472992383463,FULL_RANK,True
R_P001,RAW_ONLY,2,2,ID(cerqtit6),C0:CER,ID(cerqtit6)|ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.4430644395415967,FULL_RANK,True
R_P002,RAW_ONLY,2,2,ID(prmtan_neped),C0:DEN,ID(pcdiamag3)|ID(prmtan_neped),ID(pcdiamag3),C0:MAG,0.3775345125483849,FULL_RANK,True
R_P003,RAW_ONLY,2,2,ID(ece39),C0:ECE,ID(ece39)|ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.4064343832006089,FULL_RANK,True
R_P004,RAW_ONLY,2,2,ID(fs03da),C0:FS,ID(fs03da)|ID(pcdiamag3),ID(pcdiamag3),C0:MAG,0.45167969635547484,FULL_RANK,True
R_P005,RAW_ONLY,2,2,ID(gasd),C0:GAS,ID(gasd)|ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.4907465238039956,FULL_RANK,True
R_P006,RAW_ONLY,2,2,ID(pcdiamag3),C0:MAG,ID(pcdiamag3)|ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.3775345125483849,FULL_RANK,True
R_P007,RAW_ONLY,2,2,ID(pinj),C0:NBI,ID(pinj)|ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.411624259856715,FULL_RANK,True
R_P001,RAW_ONLY,3,3,ID(cerqtit6),C0:CER,ID(cerqtit6)|ID(pcdiamag3)|ID(prmtan_neped),ID(pcdiamag3),C0:MAG,0.35074658060681263,FULL_RANK,True
R_P002,RAW_ONLY,3,3,ID(prmtan_neped),C0:DEN,ID(ece39)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece39),C0:ECE,0.31232657316487167,FULL_RANK,True
R_P003,RAW_ONLY,3,3,ID(ece39),C0:ECE,ID(ece39)|ID(pcdiamag3)|ID(prmtan_neped),ID(pcdiamag3),C0:MAG,0.31232657316487167,FULL_RANK,True
R_P004,RAW_ONLY,3,3,ID(fs03da),C0:FS,ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(prmtan_neped),C0:DEN,0.32709967478183133,FULL_RANK,True
R_P005,RAW_ONLY,3,3,ID(gasd),C0:GAS,ID(gasd)|ID(pcdiamag3)|ID(prmtan_neped),ID(pcdiamag3),C0:MAG,0.3838217571032577,FULL_RANK,True
R_P006,RAW_ONLY,3,3,ID(pcdiamag3),C0:MAG,ID(ece39)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece39),C0:ECE,0.31232657316487167,FULL_RANK,True
R_P007,RAW_ONLY,3,3,ID(pinj),C0:NBI,ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(pcdiamag3),C0:MAG,0.3714969238642255,FULL_RANK,True
R_P001,RAW_ONLY,4,4,ID(cerqtit6),C0:CER,ID(cerqtit6)|ID(ece39)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece39),C0:ECE,0.3102513858975998,FULL_RANK,True
R_P002,RAW_ONLY,4,4,ID(prmtan_neped),C0:DEN,ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(fs03da),C0:FS,0.28491949428766944,FULL_RANK,True
R_P003,RAW_ONLY,4,4,ID(ece39),C0:ECE,ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(fs03da),C0:FS,0.28491949428766944,FULL_RANK,True
R_P004,RAW_ONLY,4,4,ID(fs03da),C0:FS,ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece39),C0:ECE,0.28491949428766944,FULL_RANK,True
R_P005,RAW_ONLY,4,4,ID(gasd),C0:GAS,ID(ece39)|ID(gasd)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece39),C0:ECE,0.31305124633508574,FULL_RANK,True
R_P006,RAW_ONLY,4,4,ID(pcdiamag3),C0:MAG,ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(fs03da),C0:FS,0.28491949428766944,FULL_RANK,True
R_P007,RAW_ONLY,4,4,ID(pinj),C0:NBI,ID(ece39)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(ece39),C0:ECE,0.30551231833397574,FULL_RANK,True
R_P001,RAW_ONLY,5,5,ID(cerqtit6),C0:CER,ID(cerqtit6)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(fs03da),C0:FS,0.2824211729358302,FULL_RANK,True
R_P002,RAW_ONLY,5,5,ID(prmtan_neped),C0:DEN,ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece38),C0:ECE,0.2786138985497092,FULL_RANK,True
R_P003,RAW_ONLY,5,5,ID(ece39),C0:ECE,ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece38),C0:ECE,0.2786138985497092,FULL_RANK,True
R_P004,RAW_ONLY,5,5,ID(fs03da),C0:FS,ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece38),C0:ECE,0.2786138985497092,FULL_RANK,True
R_P005,RAW_ONLY,5,5,ID(gasd),C0:GAS,ID(ece39)|ID(fs03da)|ID(gasd)|ID(pcdiamag3)|ID(prmtan_neped),ID(fs03da),C0:FS,0.2857474282601162,FULL_RANK,True
R_P006,RAW_ONLY,5,5,ID(pcdiamag3),C0:MAG,ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(ece38),C0:ECE,0.2786138985497092,FULL_RANK,True
R_P007,RAW_ONLY,5,5,ID(pinj),C0:NBI,ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(fs03da),C0:FS,0.28226527539396884,FULL_RANK,True
R_P001,RAW_ONLY,6,6,ID(cerqtit6),C0:CER,ID(cerqtit6)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(pinj),C0:NBI,0.277074635916361,FULL_RANK,True
R_P002,RAW_ONLY,6,6,ID(prmtan_neped),C0:DEN,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(bt),C0:MAG,0.2696472309684674,FULL_RANK,True
R_P003,RAW_ONLY,6,6,ID(ece39),C0:ECE,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(bt),C0:MAG,0.2696472309684674,FULL_RANK,True
R_P004,RAW_ONLY,6,6,ID(fs03da),C0:FS,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(bt),C0:MAG,0.2696472309684674,FULL_RANK,True
R_P005,RAW_ONLY,6,6,ID(gasd),C0:GAS,ID(ece39)|ID(fs03da)|ID(gasa)|ID(gasd)|ID(pcdiamag3)|ID(prmtan_neped),ID(gasa),C0:GAS,0.2618756678288212,FULL_RANK,True
R_P006,RAW_ONLY,6,6,ID(pcdiamag3),C0:MAG,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(prmtan_neped),ID(bt),C0:MAG,0.2696472309684674,FULL_RANK,True
R_P007,RAW_ONLY,6,6,ID(pinj),C0:NBI,ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(ece38),C0:ECE,0.2744877119410353,FULL_RANK,True
R_P001,RAW_ONLY,7,7,ID(cerqtit6),C0:CER,ID(cerqtit6)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(ece38),C0:ECE,0.2716098072888354,FULL_RANK,True
R_P002,RAW_ONLY,7,7,ID(prmtan_neped),C0:DEN,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(ip),C0:MAG,0.23692331482130752,FULL_RANK,True
R_P003,RAW_ONLY,7,7,ID(ece39),C0:ECE,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(ip),C0:MAG,0.23692331482130752,FULL_RANK,True
R_P004,RAW_ONLY,7,7,ID(fs03da),C0:FS,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(ip),C0:MAG,0.23692331482130752,FULL_RANK,True
R_P005,RAW_ONLY,7,7,ID(gasd),C0:GAS,ID(bt)|ID(ece39)|ID(fs03da)|ID(gasa)|ID(gasd)|ID(pcdiamag3)|ID(prmtan_neped),ID(bt),C0:MAG,0.24637371260496818,FULL_RANK,True
R_P006,RAW_ONLY,7,7,ID(pcdiamag3),C0:MAG,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(ip),C0:MAG,0.23692331482130752,FULL_RANK,True
R_P007,RAW_ONLY,7,7,ID(pinj),C0:NBI,ID(bt)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(bt),C0:MAG,0.26652005102679627,FULL_RANK,True
R_P001,RAW_ONLY,8,8,ID(cerqtit6),C0:CER,ID(bt)|ID(cerqtit6)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(pcdiamag3)|ID(pinj)|ID(prmtan_neped),ID(bt),C0:MAG,0.25889315565436566,FULL_RANK,True
R_P002,RAW_ONLY,8,8,ID(prmtan_neped),C0:DEN,ID(bt)|ID(cerqtit6)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(cerqtit6),C0:CER,0.231459129225197,FULL_RANK,True
R_P003,RAW_ONLY,8,8,ID(ece39),C0:ECE,ID(bt)|ID(cerqtit6)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(cerqtit6),C0:CER,0.231459129225197,FULL_RANK,True
R_P004,RAW_ONLY,8,8,ID(fs03da),C0:FS,ID(bt)|ID(cerqtit6)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(cerqtit6),C0:CER,0.231459129225197,FULL_RANK,True
R_P005,RAW_ONLY,8,8,ID(gasd),C0:GAS,ID(bt)|ID(ece39)|ID(fs03da)|ID(gasa)|ID(gasd)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(ip),C0:MAG,0.2243687188538624,FULL_RANK,True
R_P006,RAW_ONLY,8,8,ID(pcdiamag3),C0:MAG,ID(bt)|ID(cerqtit6)|ID(ece38)|ID(ece39)|ID(fs03da)|ID(ip)|ID(pcdiamag3)|ID(prmtan_neped),ID(cerqtit6),C0:CER,0.231459129225197,FULL_RANK,True
