seed_id,lane,seed_stratum,constructor,family_signature,coordinate_id,J_search,within_stratum_rank,in_shortlist,flag
SEED_001,MAIN,C0:CER,C0,CER,ID(cerqtit6),0.7600385006725702,1,True,
SEED_002,MAIN,C0:DEN,C0,DEN,ID(prmtan_neped),0.49964948280582194,1,True,
SEED_003,MAIN,C0:ECE,C0,ECE,ID(ece39),0.8274946438678779,1,True,
SEED_004,MAIN,C0:FS,C0,FS,ID(fs03da),0.7102537791817808,1,True,
SEED_005,MAIN,C0:GAS,C0,GAS,ID(gasd),0.8755343029565335,1,True,
SEED_006,MAIN,C0:MAG,C0,MAG,ID(pcdiamag3),0.596620874977544,1,True,
SEED_007,MAIN,C0:NBI,C0,NBI,ID(pinj),0.5949472992383463,1,True,
SEED_008,MAIN,C1:CER,C1,CER,DOT(cerqrott3),1.0083458198214124,1,True,
SEED_009,MAIN,C1:ECE,C1,ECE,DOT(ece33),1.00375823445732,1,True,
SEED_010,MAIN,C1:GAS,C1,GAS,DOT(gasc),1.0189225056050495,1,True,
SEED_011,MAIN,C1:MAG,C1,MAG,DOT(ip),0.9814221658619028,1,True,
SEED_012,MAIN,C1:NBI,C1,NBI,DOT(pinj_33r),1.0163819349147682,1,True,
SEED_013,MAIN,"C2:{CER,CER}",C2,"{CER,CER}","PROD(cerqtit8,cerqtit10)",0.8698054757791398,1,True,
SEED_014,MAIN,"C2:{CER,DEN}",C2,"{CER,DEN}","PROD(prmtan_neped,cerqtit6)",0.6275946806488888,1,True,
SEED_015,MAIN,"C2:{CER,ECE}",C2,"{CER,ECE}","PROD(ece39,cerqtit10)",0.8747680170434308,1,True,
SEED_016,MAIN,"C2:{CER,FS}",C2,"{CER,FS}","PROD(fs03da,cerqtit11)",0.5932943345816499,1,True,
SEED_017,MAIN,"C2:{CER,GAS}",C2,"{CER,GAS}","PROD(gasa,cerqtit6)",0.8465407924424714,1,True,
SEED_018,MAIN,"C2:{CER,MAG}",C2,"{CER,MAG}","PROD(bt,cerqtit6)",0.7564033656258248,1,True,
SEED_019,MAIN,"C2:{CER,NBI}",C2,"{CER,NBI}","PROD(pinj,cerqrott6)",0.6754318612129437,1,True,
SEED_020,MAIN,"C2:{DEN,DEN}",C2,"{DEN,DEN}","PROD(prmtan_neped,prmtan_neped)",0.6481679926972337,1,True,
SEED_021,MAIN,"C2:{DEN,ECE}",C2,"{DEN,ECE}","PROD(prmtan_neped,ece39)",0.6291568166734135,1,True,
SEED_022,MAIN,"C2:{DEN,FS}",C2,"{DEN,FS}","PROD(prmtan_neped,fs04)",0.637479626949421,1,True,
SEED_023,MAIN,"C2:{DEN,GAS}",C2,"{DEN,GAS}","PROD(prmtan_neped,gasc)",0.707272452907957,1,True,
SEED_024,MAIN,"C2:{DEN,MAG}",C2,"{DEN,MAG}","PROD(ip,prmtan_neped)",0.49365425933189744,1,True,
SEED_025,MAIN,"C2:{DEN,NBI}",C2,"{DEN,NBI}","PROD(prmtan_neped,pinj)",0.576427064502931,1,True,
SEED_026,MAIN,"C2:{ECE,ECE}",C2,"{ECE,ECE}","PROD(ece37,ece39)",0.8891823015990046,1,True,
SEED_027,MAIN,"C2:{ECE,FS}",C2,"{ECE,FS}","PROD(fs03da,ece39)",0.5743174894052181,1,True,
SEED_028,MAIN,"C2:{ECE,GAS}",C2,"{ECE,GAS}","PROD(gasa,ece1)",0.9197731688614612,1,True,
SEED_029,MAIN,"C2:{ECE,MAG}",C2,"{ECE,MAG}","PROD(ip,ece39)",0.8103913114762195,1,True,
SEED_030,MAIN,"C2:{ECE,NBI}",C2,"{ECE,NBI}","PROD(pinj,ece36)",0.6983938192487688,1,True,
SEED_031,MAIN,"C2:{FS,FS}",C2,"{FS,FS}","PROD(fs04,fs03da)",0.8226356796167755,1,True,
SEED_032,MAIN,"C2:{FS,GAS}",C2,"{FS,GAS}","PROD(fs04,gasc)",0.890914650746774,1,True,
SEED_033,MAIN,"C2:{FS,MAG}",C2,"{FS,MAG}","PROD(ip,fs03da)",0.6752820607988902,1,True,
SEED_034,MAIN,"C2:{FS,NBI}",C2,"{FS,NBI}","PROD(fs04,pinj)",0.6186350186409635,1,True,
SEED_035,MAIN,"C2:{GAS,GAS}",C2,"{GAS,GAS}","PROD(gasa,gasa)",0.9039380164236673,1,True,
SEED_036,MAIN,"C2:{GAS,MAG}",C2,"{GAS,MAG}","PROD(bt,gasd)",0.864115888066937,1,True,
SEED_037,MAIN,"C2:{GAS,NBI}",C2,"{GAS,NBI}","PROD(gasc,pinj)",0.770369708426711,1,True,
SEED_038,MAIN,"C2:{MAG,MAG}",C2,"{MAG,MAG}","PROD(bt,bt)",0.74549733895133,1,True,
SEED_039,MAIN,"C2:{MAG,NBI}",C2,"{MAG,NBI}","PROD(ip,pinj)",0.5905445032009655,1,True,
SEED_040,MAIN,"C2:{NBI,NBI}",C2,"{NBI,NBI}","PROD(pinj,pinj_30l)",0.6460319722177063,1,True,
SEED_041,MAIN,C3:CER|CER,C3,CER|CER,"RATIO(cerqrott12,cerqtit10)",0.6018301381970151,1,True,
SEED_042,MAIN,C3:CER|DEN,C3,CER|DEN,"RATIO(cerqrott3,prmtan_neped)",0.6861960042291344,1,True,
SEED_043,MAIN,C3:CER|ECE,C3,CER|ECE,"RATIO(cerqtit8,ece22)",0.5731262536116761,1,True,
SEED_044,MAIN,C3:CER|MAG,C3,CER|MAG,"RATIO(cerqtit8,ip)",0.7620714614765582,1,True,
SEED_045,MAIN,C3:DEN|CER,C3,DEN|CER,"RATIO(prmtan_neped,cerqtit10)",0.8597071735291368,1,True,
SEED_046,MAIN,C3:DEN|DEN,C3,DEN|DEN,"RATIO(prmtan_teped,prmtan_neped)",1.0146618625611288,1,True,
SEED_047,MAIN,C3:DEN|ECE,C3,DEN|ECE,"RATIO(prmtan_neped,ece22)",0.6505139554954743,1,True,
SEED_048,MAIN,C3:DEN|MAG,C3,DEN|MAG,"RATIO(prmtan_neped,bt)",0.5019400463073656,1,True,
SEED_049,MAIN,C3:ECE|CER,C3,ECE|CER,"RATIO(ece16,cerqtit10)",0.4801024362475679,1,True,
SEED_050,MAIN,C3:ECE|DEN,C3,ECE|DEN,"RATIO(ece21,prmtan_neped)",0.5406478203295136,1,True,
SEED_051,MAIN,C3:ECE|ECE,C3,ECE|ECE,"RATIO(ece25,ece39)",0.5223803596576309,1,True,
SEED_052,MAIN,C3:ECE|MAG,C3,ECE|MAG,"RATIO(ece39,bt)",0.8311901564215651,1,True,
SEED_053,MAIN,C3:FS|CER,C3,FS|CER,"RATIO(fs03da,cerqtit10)",0.7810138373768962,1,True,
SEED_054,MAIN,C3:FS|DEN,C3,FS|DEN,"RATIO(fs03da,prmtan_neped)",0.8386051219580561,1,True,
SEED_055,MAIN,C3:FS|ECE,C3,FS|ECE,"RATIO(fs03da,ece22)",0.7517976120486315,1,True,
SEED_056,MAIN,C3:FS|MAG,C3,FS|MAG,"RATIO(fs03da,bt)",0.7113932297518052,1,True,
SEED_057,MAIN,C3:GAS|CER,C3,GAS|CER,"RATIO(gasc,cerqtit10)",0.7954255812179433,1,True,
SEED_058,MAIN,C3:GAS|DEN,C3,GAS|DEN,"RATIO(gasc,prmtan_neped)",0.7442076609277678,1,True,
SEED_059,MAIN,C3:GAS|ECE,C3,GAS|ECE,"RATIO(gasa,ece6)",0.8586233215960999,1,True,
SEED_060,MAIN,C3:GAS|MAG,C3,GAS|MAG,"RATIO(gasd,bt)",0.854475219459313,1,True,
SEED_061,MAIN,C3:MAG|CER,C3,MAG|CER,"RATIO(ip,cerqtit10)",0.6248611467083587,1,True,
SEED_062,MAIN,C3:MAG|DEN,C3,MAG|DEN,"RATIO(bt,prmtan_neped)",0.5587673598342694,1,True,
SEED_063,MAIN,C3:MAG|ECE,C3,MAG|ECE,"RATIO(ip,ece22)",0.7189569521941315,1,True,
SEED_064,MAIN,C3:MAG|MAG,C3,MAG|MAG,"RATIO(ip,bt)",0.856520875161032,1,True,
SEED_065,MAIN,C3:NBI|CER,C3,NBI|CER,"RATIO(pinj_33r,cerqtit10)",0.8474688384151833,1,True,
SEED_066,MAIN,C3:NBI|DEN,C3,NBI|DEN,"RATIO(pinj_33r,prmtan_neped)",0.8287186651526387,1,True,
SEED_067,MAIN,C3:NBI|ECE,C3,NBI|ECE,"RATIO(pinj,ece37)",0.6521700693310696,1,True,
SEED_068,MAIN,C3:NBI|MAG,C3,NBI|MAG,"RATIO(pinj,bt)",0.5936697841576974,1,True,
SEED_069,MAIN,C5:CER,C5,CER,RECIP(cerqtit10),0.6398297594457867,1,True,
SEED_070,MAIN,C5:DEN,C5,DEN,RECIP(prmtan_neped),0.5562561434127222,1,True,
SEED_071,MAIN,C5:ECE,C5,ECE,RECIP(ece39),0.7177284031739763,1,True,
SEED_072,MAIN,C5:MAG,C5,MAG,RECIP(bt),0.7412468479734918,1,True,
SEED_073,MAIN,C6:CER|CER,C6,CER|CER,LEVEL_RATE(cerqrott12|cerqtit8),0.9930834013247745,1,True,
SEED_074,MAIN,C6:CER|ECE,C6,CER|ECE,LEVEL_RATE(cerqrott12|ece33),0.978692785196694,1,True,
SEED_075,MAIN,C6:CER|GAS,C6,CER|GAS,LEVEL_RATE(cerqrott12|gasa),1.0074175394498046,1,True,
SEED_076,MAIN,C6:CER|MAG,C6,CER|MAG,LEVEL_RATE(cerqrott12|ip),0.9867907450113487,1,True,
SEED_077,MAIN,C6:CER|NBI,C6,CER|NBI,LEVEL_RATE(cerqrott12|pinj_15l),1.01689719783795,1,True,
SEED_078,MAIN,C6:DEN|CER,C6,DEN|CER,LEVEL_RATE(prmtan_neped|cerqtit6),1.0184682169539359,1,True,
SEED_079,MAIN,C6:DEN|ECE,C6,DEN|ECE,LEVEL_RATE(prmtan_neped|ece9),1.0176325006952864,1,True,
SEED_080,MAIN,C6:DEN|GAS,C6,DEN|GAS,LEVEL_RATE(prmtan_neped|gasc),1.0190429444880362,1,True,
SEED_081,MAIN,C6:DEN|MAG,C6,DEN|MAG,LEVEL_RATE(prmtan_neped|ip),1.01723643949892,1,True,
SEED_082,MAIN,C6:DEN|NBI,C6,DEN|NBI,LEVEL_RATE(prmtan_teped|pinj_15l),1.0174014051287206,1,True,
SEED_083,MAIN,C6:ECE|CER,C6,ECE|CER,LEVEL_RATE(ece14|cerqtit8),1.0083428065831446,1,True,
SEED_084,MAIN,C6:ECE|ECE,C6,ECE|ECE,LEVEL_RATE(ece16|ece35),1.0003424924259317,1,True,
SEED_085,MAIN,C6:ECE|GAS,C6,ECE|GAS,LEVEL_RATE(ece6|gasb),1.0129070370584043,1,True,
SEED_086,MAIN,C6:ECE|MAG,C6,ECE|MAG,LEVEL_RATE(ece16|ip),0.9808538716065032,1,True,
SEED_087,MAIN,C6:ECE|NBI,C6,ECE|NBI,LEVEL_RATE(ece14|pinj_33r),1.0164496533787313,1,True,
SEED_088,MAIN,C6:FS|CER,C6,FS|CER,LEVEL_RATE(fs03da|cerqrott6),1.0119921837242385,1,True,
