alpha,mean_development_NRMSE,n_finite_cells,baseline
0.0,34.554149343457254,60,B2
1e-08,1.7659022514210463,60,B2
1e-07,0.5299470059279818,60,B2
1e-06,0.414285541654764,60,B2
1e-05,0.4029805893537544,60,B2
0.0001,0.39057739783084133,60,B2
0.001,0.37904571171651014,60,B2
0.01,0.3709207945760915,60,B2
0.1,0.3350457293640741,60,B2
1.0,0.2951006078452387,60,B2
10.0,0.3101217115805809,60,B2
100.0,0.3367780824559061,60,B2
1000.0,0.4225601933992329,60,B2
10000.0,0.6707725932297912,60,B2
100000.0,0.946453050496036,60,B2
1000000.0,1.0107500193185908,60,B2
