alpha,mean_development_NRMSE,n_finite_cells,baseline
0.0,43.16172506766793,60,H0_RAW_HARDENED
1e-08,2.3946184420094094,60,H0_RAW_HARDENED
1e-07,0.6234705975399091,60,H0_RAW_HARDENED
1e-06,0.44848213387051084,60,H0_RAW_HARDENED
1e-05,0.43653540957169346,60,H0_RAW_HARDENED
0.0001,0.4226529991225245,60,H0_RAW_HARDENED
0.001,0.4098922343121516,60,H0_RAW_HARDENED
0.01,0.38100350062292127,60,H0_RAW_HARDENED
0.1,0.32968253113521057,60,H0_RAW_HARDENED
1.0,0.2872906325362027,60,H0_RAW_HARDENED
10.0,0.3009082038490314,60,H0_RAW_HARDENED
100.0,0.34445465938131237,60,H0_RAW_HARDENED
1000.0,0.43211913562998083,60,H0_RAW_HARDENED
10000.0,0.6817586439875158,60,H0_RAW_HARDENED
100000.0,0.9522715412613468,60,H0_RAW_HARDENED
1000000.0,1.0115183452286363,60,H0_RAW_HARDENED
