coordinate_id,n_winning_supports_containing,share_of_217_winners,bootstrap_participation_weight,in_C_dev_star
ID(pcdiamag3),217,1.0,1.0000000000000007,True
"RATIO(ip,ece22)",182,0.8387096774193549,0.9300000000000006,True
"RATIO(fs03da,prmtan_neped)",163,0.7511520737327189,0.7720000000000005,True
"PROD(prmtan_neped,ece39)",160,0.7373271889400922,0.7390000000000004,False
"PROD(ece37,ece39)",111,0.511520737327189,0.6180000000000003,True
"PROD(ip,prmtan_neped)",155,0.7142857142857143,0.5970000000000003,False
RECIP(cerqtit10),107,0.4930875576036866,0.5310000000000002,True
"PROD(pinj,cerqrott6)",96,0.4423963133640553,0.5070000000000001,True
RECIP(bt),97,0.4470046082949309,0.4870000000000002,False
"PROD(gasa,ece1)",109,0.5023041474654378,0.45500000000000024,False
"PROD(prmtan_neped,prmtan_neped)",83,0.3824884792626728,0.4530000000000001,True
"PROD(fs03da,cerqtit11)",134,0.6175115207373272,0.4430000000000003,False
ID(prmtan_neped),43,0.19815668202764977,0.3870000000000001,True
"PROD(gasa,gasa)",69,0.31797235023041476,0.3740000000000001,True
"RATIO(ece25,ece39)",93,0.42857142857142855,0.3330000000000002,False
"RATIO(ip,bt)",55,0.2534562211981567,0.32000000000000006,False
"RATIO(prmtan_neped,cerqtit10)",49,0.22580645161290322,0.2550000000000001,False
"RATIO(ece21,prmtan_neped)",31,0.14285714285714285,0.25100000000000006,True
"RATIO(cerqrott12,cerqtit10)",47,0.21658986175115208,0.2350000000000001,False
RECIP(prmtan_neped),31,0.14285714285714285,0.22300000000000006,True
"PROD(gasa,cerqtit6)",16,0.07373271889400922,0.17000000000000004,False
"PROD(prmtan_neped,cerqtit6)",20,0.09216589861751152,0.16200000000000003,False
"RATIO(pinj_33r,cerqtit10)",13,0.059907834101382486,0.15200000000000002,False
"RATIO(gasa,ece6)",26,0.11981566820276497,0.14900000000000002,False
ID(cerqtit6),11,0.05069124423963134,0.11300000000000002,True
"PROD(pinj,ece36)",26,0.11981566820276497,0.11000000000000004,False
"PROD(bt,bt)",36,0.16589861751152074,0.10800000000000004,False
"RATIO(pinj,bt)",14,0.06451612903225806,0.08900000000000002,False
"RATIO(gasd,bt)",21,0.0967741935483871,0.07100000000000004,False
"RATIO(prmtan_neped,bt)",18,0.08294930875576037,0.06300000000000001,False
"RATIO(cerqtit8,ece22)",17,0.07834101382488479,0.05400000000000001,False
LEVEL_RATE(cerqrott12|ece33),17,0.07834101382488479,0.047000000000000014,False
"RATIO(cerqtit8,ip)",2,0.009216589861751152,0.04,False
"RATIO(ip,cerqtit10)",15,0.06912442396313365,0.03500000000000001,False
LEVEL_RATE(cerqrott12|cerqtit8),15,0.06912442396313365,0.03400000000000001,False
"PROD(fs03da,ece39)",14,0.06451612903225806,0.03400000000000001,False
"PROD(pinj,pinj_30l)",16,0.07373271889400922,0.03400000000000001,False
"RATIO(prmtan_teped,prmtan_neped)",12,0.055299539170506916,0.03400000000000001,False
"RATIO(prmtan_neped,ece22)",20,0.09216589861751152,0.031000000000000014,False
"RATIO(pinj,ece37)",5,0.02304147465437788,0.031,False
"PROD(prmtan_neped,pinj)",5,0.02304147465437788,0.030000000000000006,False
"RATIO(bt,ece39)",1,0.004608294930875576,0.03,False
"PROD(bt,cerqtit6)",9,0.041474654377880185,0.029000000000000005,False
"RATIO(ece16,cerqtit10)",19,0.08755760368663594,0.02800000000000001,False
"RATIO(ece39,bt)",8,0.03686635944700461,0.023000000000000007,False
"PROD(fs04,pinj)",6,0.027649769585253458,0.022000000000000002,False
"RATIO(ece22,ece39)",5,0.02304147465437788,0.02,False
"PROD(bt,gasd)",4,0.018433179723502304,0.017,False
"PROD(ece39,cerqtit10)",6,0.027649769585253458,0.016000000000000004,False
"PROD(gasa,gasb)",6,0.027649769585253458,0.016,False
ID(ece39),11,0.05069124423963134,0.015000000000000006,False
"RATIO(gasc,cerqtit10)",10,0.04608294930875576,0.015000000000000006,False
"PROD(gasc,pinj)",3,0.013824884792626729,0.014000000000000002,False
"RATIO(cerqtit6,ece22)",2,0.009216589861751152,0.013000000000000001,False
"PROD(ip,pinj)",6,0.027649769585253458,0.012000000000000004,False
ID(pinj),6,0.027649769585253458,0.011000000000000003,False
LEVEL_RATE(prmtan_neped|ece9),5,0.02304147465437788,0.008,False
"PROD(cerqtit8,cerqtit10)",3,0.013824884792626729,0.008,False
"RATIO(fs03da,ece22)",7,0.03225806451612903,0.008,False
RECIP(cerqtit11),4,0.018433179723502304,0.008,False
RECIP(ece39),5,0.02304147465437788,0.007,False
RATE_OVER_LEVEL(ece37|cerqtit10),5,0.02304147465437788,0.006,False
"RATIO(cerqrott3,prmtan_neped)",3,0.013824884792626729,0.006,False
LEVEL_RATE(pinj_30r|ece39),4,0.018433179723502304,0.005,False
"PROD(ip,ece39)",4,0.018433179723502304,0.005,False
LEVEL_RATE(fs03da|ip),1,0.004608294930875576,0.004,False
"PROD(ece37,cerqtit6)",4,0.018433179723502304,0.004,False
"PROD(prmtan_neped,ece38)",3,0.013824884792626729,0.004,False
"RATIO(bt,prmtan_neped)",3,0.013824884792626729,0.004,False
ID(bt),2,0.009216589861751152,0.003,False
ID(gasd),2,0.009216589861751152,0.003,False
RATE_OVER_LEVEL(ip|ece1),3,0.013824884792626729,0.003,False
ID(ece38),2,0.009216589861751152,0.002,False
LEVEL_RATE(bt|cerqrott3),2,0.009216589861751152,0.002,False
LEVEL_RATE(prmtan_neped|ip),2,0.009216589861751152,0.002,False
"PROD(fs04,fs03da)",1,0.004608294930875576,0.002,False
"PROD(pinj_30l,cerqtit6)",2,0.009216589861751152,0.002,False
DOT(cerqrott3),1,0.004608294930875576,0.001,False
ID(prmtan_teped),1,0.004608294930875576,0.001,False
LEVEL_RATE(cerqrott12|cerqrott3),1,0.004608294930875576,0.001,False
LEVEL_RATE(fs03da|cerqrott6),1,0.004608294930875576,0.001,False
"PROD(bt,prmtan_neped)",1,0.004608294930875576,0.001,False
"PROD(fs03da,cerqtit10)",1,0.004608294930875576,0.001,False
RATE_OVER_LEVEL(cerqrott3|ece1),1,0.004608294930875576,0.001,False
RATE_OVER_LEVEL(cerqrott3|ip),1,0.004608294930875576,0.001,False
RATE_OVER_LEVEL(cerqrott3|prmtan_neped),1,0.004608294930875576,0.001,False
RATE_OVER_LEVEL(ece33|ece39),1,0.004608294930875576,0.001,False
RATE_OVER_LEVEL(gasa|ece39),1,0.004608294930875576,0.001,False
"RATIO(fs03da,cerqtit10)",1,0.004608294930875576,0.001,False
"RATIO(gasd,ip)",1,0.004608294930875576,0.001,False
"RATIO(pinj_33r,prmtan_neped)",1,0.004608294930875576,0.001,False
