shot_id,era,block,n_protected_rows,identical_rows_across_methods,scored_by_REL,scored_by_all_baselines,comparison_eligible,ineligible_reason
155537,earlier,A,73,True,True,True,True,
155537,earlier,B,73,True,True,True,True,
155537,earlier,C,73,True,True,True,True,
159310,earlier,A,67,True,True,True,True,
159310,earlier,B,68,True,True,True,True,
159310,earlier,C,67,True,True,True,True,
160717,earlier,A,73,True,True,True,True,
160717,earlier,B,73,True,True,True,True,
160717,earlier,C,73,True,True,True,True,
160719,earlier,A,73,True,True,True,True,
160719,earlier,B,73,True,True,True,True,
160719,earlier,C,73,True,True,True,True,
160721,earlier,A,73,True,True,True,True,
160721,earlier,B,73,True,True,True,True,
160721,earlier,C,73,True,True,True,True,
161136,earlier,A,38,True,True,True,True,
161136,earlier,B,38,True,True,True,True,
161136,earlier,C,38,True,True,True,True,
161145,earlier,A,38,True,True,True,True,
161145,earlier,B,38,True,True,True,True,
161145,earlier,C,38,True,True,True,True,
161414,earlier,A,83,True,True,True,True,
161414,earlier,B,84,True,True,True,True,
161414,earlier,C,83,True,True,True,True,
165017,earlier,A,72,True,True,True,True,
165017,earlier,B,73,True,True,True,True,
165017,earlier,C,72,True,True,True,True,
165026,earlier,A,72,True,True,True,True,
165026,earlier,B,71,True,True,True,True,
165026,earlier,C,72,True,True,True,True,
165027,earlier,A,74,True,True,True,True,
165027,earlier,B,73,True,True,True,True,
165027,earlier,C,73,True,True,True,True,
165029,earlier,A,67,True,True,True,True,
165029,earlier,B,67,True,True,True,True,
165029,earlier,C,67,True,True,True,True,
165031,earlier,A,67,True,True,True,True,
165031,earlier,B,66,True,True,True,True,
165031,earlier,C,67,True,True,True,True,
165043,earlier,A,74,True,True,True,True,
165043,earlier,B,73,True,True,True,True,
165043,earlier,C,73,True,True,True,True,
165860,earlier,A,74,True,True,True,True,
165860,earlier,B,73,True,True,True,True,
165860,earlier,C,73,True,True,True,True,
165955,earlier,A,74,True,True,True,True,
165955,earlier,B,73,True,True,True,True,
165955,earlier,C,73,True,True,True,True,
165965,earlier,A,61,True,True,True,True,
165965,earlier,B,61,True,True,True,True,
165965,earlier,C,61,True,True,True,True,
170394,earlier,A,33,True,True,True,True,
170394,earlier,B,33,True,True,True,True,
170394,earlier,C,33,True,True,True,True,
170411,earlier,A,32,True,True,True,True,
170411,earlier,B,32,True,True,True,True,
170411,earlier,C,32,True,True,True,True,
186997,earlier,A,62,True,True,True,True,
186997,earlier,B,62,True,True,True,True,
186997,earlier,C,62,True,True,True,True,
187018,earlier,A,50,True,True,True,True,
187018,earlier,B,50,True,True,True,True,
187018,earlier,C,50,True,True,True,True,
187019,earlier,A,57,True,True,True,True,
187019,earlier,B,57,True,True,True,True,
187019,earlier,C,57,True,True,True,True,
187021,earlier,A,50,True,True,True,True,
187021,earlier,B,50,True,True,True,True,
187021,earlier,C,50,True,True,True,True,
187022,earlier,A,57,True,True,True,True,
187022,earlier,B,57,True,True,True,True,
187022,earlier,C,57,True,True,True,True,
189646,later,A,59,True,True,True,True,
189646,later,B,59,True,True,True,True,
189646,later,C,59,True,True,True,True,
189649,later,A,61,True,True,True,True,
189649,later,B,60,True,True,True,True,
189649,later,C,60,True,True,True,True,
189650,later,A,59,True,True,True,True,
189650,later,B,59,True,True,True,True,
189650,later,C,59,True,True,True,True,
189652,later,A,65,True,True,True,True,
189652,later,B,64,True,True,True,True,
189652,later,C,64,True,True,True,True,
195261,later,A,79,True,True,True,True,
195261,later,B,79,True,True,True,True,
195261,later,C,79,True,True,True,True,
195265,later,A,77,True,True,True,True,
195265,later,B,77,True,True,True,True,
195265,later,C,77,True,True,True,True,
195266,later,A,77,True,True,True,True,
195266,later,B,78,True,True,True,True,
195266,later,C,77,True,True,True,True,
195268,later,A,78,True,True,True,True,
195268,later,B,78,True,True,True,True,
195268,later,C,78,True,True,True,True,
195269,later,A,78,True,True,True,True,
195269,later,B,78,True,True,True,True,
195269,later,C,78,True,True,True,True,
195274,later,A,75,True,True,True,True,
195274,later,B,75,True,True,True,True,
195274,later,C,75,True,True,True,True,
195626,later,A,76,True,True,True,True,
195626,later,B,76,True,True,True,True,
195626,later,C,76,True,True,True,True,
195642,later,A,70,True,True,True,True,
195642,later,B,69,True,True,True,True,
195642,later,C,70,True,True,True,True,
195645,later,A,70,True,True,True,True,
195645,later,B,70,True,True,True,True,
195645,later,C,70,True,True,True,True,
195648,later,A,68,True,True,True,True,
195648,later,B,67,True,True,True,True,
195648,later,C,67,True,True,True,True,
195649,later,A,71,True,True,True,True,
195649,later,B,71,True,True,True,True,
195649,later,C,71,True,True,True,True,
195651,later,A,72,True,True,True,True,
195651,later,B,72,True,True,True,True,
195651,later,C,72,True,True,True,True,
195652,later,A,71,True,True,True,True,
195652,later,B,71,True,True,True,True,
195652,later,C,71,True,True,True,True,
195659,later,A,38,True,True,True,True,
195659,later,B,38,True,True,True,True,
195659,later,C,38,True,True,True,True,
