shot_id,era,block,n_calibration,n_protected,scale,scale_valid,y_protected_finite,relational_applicable,domain_failure,relational_nonfinite_construction,B1A_a,B1A_phi,REL_rmse,REL_mse,REL_nrmse,REL_finite,B0_rmse,B0_mse,B0_nrmse,B0_finite,B1_rmse,B1_mse,B1_nrmse,B1_finite,B1A_rmse,B1A_mse,B1A_nrmse,B1A_finite,B2_rmse,B2_mse,B2_nrmse,B2_finite,B3_rmse,B3_mse,B3_nrmse,B3_finite,H0_rmse,H0_mse,H0_nrmse,H0_finite,all_methods_finite,comparison_eligible,ineligible_reason
155537,earlier,A,291,73,7.946083119798617e+18,True,True,True,,False,3.176300657889691e-20,1.0019772291250895,1.0778967444607935e+18,1.1618613917191771e+36,0.13565133012201758,True,7.608956611061194e+18,5.789622070901185e+37,0.9575732466355112,True,9.200021735074552e+17,8.464039992584417e+35,0.11578058769800176,True,3.9631123088789724e+18,1.570625917278802e+37,0.4987504219537301,True,9.390467357003044e+17,8.818087718293973e+35,0.11817731095217933,True,3.870823249093153e+17,1.4983272625720073e+35,0.04871360128927589,True,8.627629931330339e+17,7.443599823198713e+35,0.10857714173456814,True,True,True,
155537,earlier,B,436,73,7.330869028194729e+18,True,True,True,,False,2.9890264177591963e-20,1.0010620507553902,4.7572858197129664e+17,2.2631768370442073e+35,0.06489388640577687,True,3.910329931698082e+18,1.5290680174733924e+37,0.5334060554974919,True,8.677371726288728e+17,7.529678007619502e+35,0.11836757269725202,True,2.432147242489675e+18,5.915340209150128e+36,0.331767929986959,True,5.147163579260781e+17,2.6493292911668652e+35,0.07021218847949193,True,3.816385149887898e+17,1.4564795612284875e+35,0.052059109707320826,True,5.6839851905351494e+17,3.2307687646222902e+35,0.07753494392921742,True,True,True,
155537,earlier,C,582,73,6.580122102300179e+18,True,True,True,,False,2.9320379876156106e-20,1.0006847378944488,4.207661465642256e+17,1.7704415009450736e+35,0.06394503628088308,True,2.5088706517733535e+18,6.294431947329652e+36,0.38128025783842834,True,2.9224757565059814e+17,8.540864547365207e+34,0.04441370100844157,True,1.1068842594792238e+18,1.2251927638828696e+36,0.16821637080143179,True,4.025434988553123e+17,1.6204126847067682e+35,0.06117568832265244,True,4.088506874489535e+17,1.6715888462748184e+35,0.062134209835716214,True,3.92572921814239e+17,1.5411349894176858e+35,0.05966043117604296,True,True,True,
159310,earlier,A,269,67,9.91288654090554e+18,True,True,True,,False,3.1669856096284517e-20,1.0012919448643856,1.2760568343713108e+18,1.628321044545731e+36,0.1287270694671689,True,3.2498982564982743e+18,1.0561838677590525e+37,0.32784580385214385,True,1.7572012126315804e+18,3.0877561016738964e+36,0.17726433217816903,True,8.442580298037576e+17,7.127716208881224e+35,0.08516772852386897,True,1.0623135298964251e+18,1.128510035801003e+36,0.10716490353367679,True,1.8250877981492854e+18,3.3309454709534067e+36,0.18411264878479724,True,1.061408857821503e+18,1.1265887634619474e+36,0.10707364130938025,True,True,True,
159310,earlier,B,403,68,8.258005463372071e+18,True,True,True,,False,3.173568755388036e-20,1.0009341292520095,7.301022806436253e+17,5.33049340201023e+35,0.08841145526991401,True,2.468528683995383e+18,6.093633863707977e+36,0.29892553292007445,True,5.907651097585701e+17,3.490034149080554e+35,0.07153847407571674,True,1.0414390874011875e+18,1.0845953727670183e+36,0.12611266631154863,True,5.897986726509222e+17,3.478624742607897e+35,0.071421443745338,True,8.38702925756774e+17,7.034225976729727e+35,0.10156240868049733,True,6.014297200548179e+17,3.617177081652166e+35,0.07282990096366809,True,True,True,
159310,earlier,C,538,67,7.231210007394228e+18,True,True,True,,False,3.16857802827917e-20,1.0006943097776042,6.51440002145317e+17,4.2437407639509066e+35,0.09008727467176186,True,1.9548215463895452e+18,3.821327278228813e+36,0.2703311816958234,True,4.0635206911060525e+17,1.651220040704701e+35,0.05619420106663926,True,9.82394145737594e+17,9.650982575794972e+35,0.13585473865826786,True,5.3078135154459283e+17,2.8172884314750467e+35,0.07340145715611159,True,5.123080222189249e+17,2.624595096298665e+35,0.07084679074388209,True,5.408039289942631e+17,2.9246888961563196e+35,0.07478747380331473,True,True,True,
160717,earlier,A,291,73,9.497275146788493e+18,True,True,True,,False,2.975032470579846e-20,1.0020596998207878,3.5500850757536133e+18,1.2603104045088537e+37,0.373800381781513,True,9.623248876224131e+18,9.2606918933749e+37,1.0132641970974419,True,1.1154141539089071e+18,1.2441487347403233e+36,0.11744570275886813,True,2.848749960681561e+18,8.115376338483197e+36,0.2999544518455767,True,2.2625068547696015e+18,5.118937267879435e+36,0.23822694612935047,True,1.0962941605969286e+18,1.2018608865589245e+36,0.11543249444211805,True,2.3044598416081853e+18,5.310535161584822e+36,0.24264431702680944,True,True,True,
160717,earlier,B,436,73,9.73607963708444e+18,True,True,True,,False,2.6744391380125757e-20,1.0017453312682283,1.8494604823859192e+18,3.4205040759071573e+36,0.18995946534181773,True,1.4475507256564398e+19,2.0954031033484854e+38,1.4867901451244931,True,1.120915151215952e+18,1.2564507762254806e+36,0.11513003108010941,True,2.752926348322777e+18,7.578603479289781e+36,0.2827551181727152,True,2.5234472191009746e+18,6.367785867588442e+36,0.2591851456811465,True,1.6236306327396495e+18,2.636176431570555e+36,0.1667643130768249,True,2.767945514010236e+18,7.66152236852939e+36,0.2842977478806986,True,True,True,
160717,earlier,C,582,73,1.1778815546754474e+19,True,True,True,,False,2.3401643882474177e-20,1.0017574503173476,6.319746723173519e+18,3.993919864506244e+37,0.5365349935303858,True,2.548098785473143e+19,6.4928074205297066e+38,2.163289488114316,True,3.379709334654728e+18,1.1422435186752306e+37,0.2869311707309969,True,3.4196440150964726e+18,1.1693965189985124e+37,0.29032155241099084,True,1.1686906710612877e+19,1.365837884625683e+38,0.9921971071049737,True,1.7262166651760484e+19,2.9798239751315175e+38,1.4655265279637466,True,1.1481727432460048e+19,1.318300648333056e+38,0.9747777598592003,True,True,True,
160719,earlier,A,291,73,9.648269228393226e+18,True,True,True,,False,2.9645916549989016e-20,1.0019519207022156,2.495941782213917e+18,6.229725380201184e+36,0.25869321462017064,True,9.092698739843074e+18,8.267717037354383e+37,0.9424176009811996,True,1.1924696540574287e+18,1.4219838758478438e+36,0.12359415205249373,True,2.558176003920552e+18,6.544264467034924e+36,0.26514351365655014,True,1.9131798593875118e+18,3.6602571743660195e+36,0.1982925449216681,True,3.33971646935255e+18,1.115370609566466e+37,0.34614669121424685,True,1.779497366301487e+18,3.1666108766739286e+36,0.1844369517658905,True,True,True,
