comparator,cohort,n,mean_delta,median_delta,ci_lo_2.5,ci_hi_97.5,replicates,seed,ci_type,method,ci_excludes_zero,ci_is_a_significance_gate
B0,pooled,42,-0.18009502685176143,-0.7317950392440977,-0.7644327446521113,0.6600742460182973,10000,2026090503,percentile,linear,False,False
B0,earlier,24,0.2907794131889924,-0.6905980051987173,-0.7120647712318516,1.713922390588537,10000,2026090504,percentile,linear,False,False
B0,later,18,-0.8079276135727665,-0.8431382326370507,-0.9132157771952832,-0.6977297307515407,10000,2026090505,percentile,linear,True,False
B1,pooled,42,0.5320905620084037,-0.005233689179215406,-0.0365661279822997,1.3737129847170568,10000,2026090503,percentile,linear,False,False
B1,earlier,24,0.9538968586776063,-0.0001268216801476041,-0.03734059228074619,2.41790315608875,10000,2026090504,percentile,linear,False,False
B1,later,18,-0.03031783355053282,-0.018587188525362404,-0.07086732576716342,0.007006194255476265,10000,2026090505,percentile,linear,False,False
B1A,pooled,42,0.3919191033039335,-0.169349130780801,-0.1813050414037266,1.2363938432649666,10000,2026090503,percentile,linear,False,False
B1A,earlier,24,0.8317768445976453,-0.0959743057772648,-0.16345347414439737,2.2949870757321005,10000,2026090504,percentile,linear,False,False
B1A,later,18,-0.19455788508768268,-0.22268755817977634,-0.25752267767735176,-0.12547326476892964,10000,2026090505,percentile,linear,True,False
B2,pooled,42,0.46195848366685044,-0.020764032831909807,-0.09913555544125671,1.2768208034300619,10000,2026090503,percentile,linear,False,False
B2,earlier,24,0.898571895721223,-0.0174435763888333,-0.05229519373361531,2.300077070032978,10000,2026090504,percentile,linear,False,False
B2,later,18,-0.12019273240564621,-0.02429645624475034,-0.24062669502279133,-0.01908979424722222,10000,2026090505,percentile,linear,True,False
B3,pooled,42,0.4364008518255257,-0.014695414274041703,-0.12308431655031897,1.2446062398080155,10000,2026090503,percentile,linear,False,False
B3,earlier,24,0.8076382799381859,-0.006415459387551503,-0.17218626044739901,2.198180093397483,10000,2026090504,percentile,linear,False,False
B3,later,18,-0.058582385658021346,-0.02318074170359881,-0.11874842336114089,-0.005940470200396999,10000,2026090505,percentile,linear,True,False
H0,pooled,42,0.45956438466937766,-0.019188476220349138,-0.1019652332742736,1.2742978926364077,10000,2026090503,percentile,linear,False,False
H0,earlier,24,0.8998355010148226,-0.019188476220349138,-0.04887461926453534,2.29874119855662,10000,2026090504,percentile,linear,False,False
H0,later,18,-0.1274637704578822,-0.020593082024837797,-0.25331682252542487,-0.022152289016602492,10000,2026090505,percentile,linear,True,False
