comparator,era,n,mean_REL_nrmse,mean_comparator_nrmse,mean_delta,median_delta,practical_direction,mean_nrmse_of_method
B0,earlier,24,1.1642719615490142,0.8734925483600219,0.2907794131889924,-0.6905980051987173,MATERIAL_ADVERSE,
B0,later,18,0.17982186688162305,0.9877494804543896,-0.8079276135727665,-0.8431382326370507,MATERIAL_IMPROVEMENT,
B1,earlier,24,1.1642719615490142,0.21037510287140804,0.9538968586776063,-0.0001268216801476041,MATERIAL_ADVERSE,
B1,later,18,0.17982186688162305,0.21013970043215585,-0.03031783355053282,-0.018587188525362404,MATERIAL_IMPROVEMENT,
B1A,earlier,24,1.1642719615490142,0.33249511695136885,0.8317768445976453,-0.0959743057772648,MATERIAL_ADVERSE,
B1A,later,18,0.17982186688162305,0.37437975196930573,-0.19455788508768268,-0.22268755817977634,MATERIAL_IMPROVEMENT,
B2,earlier,24,1.1642719615490142,0.26570006582779143,0.898571895721223,-0.0174435763888333,MATERIAL_ADVERSE,
B2,later,18,0.17982186688162305,0.30001459928726926,-0.12019273240564621,-0.02429645624475034,MATERIAL_IMPROVEMENT,
B3,earlier,24,1.1642719615490142,0.3566336816108284,0.8076382799381859,-0.006415459387551503,MATERIAL_ADVERSE,
B3,later,18,0.17982186688162305,0.23840425253964442,-0.058582385658021346,-0.02318074170359881,MATERIAL_IMPROVEMENT,
H0,earlier,24,1.1642719615490142,0.2644364605341918,0.8998355010148226,-0.019188476220349138,MATERIAL_ADVERSE,
H0,later,18,0.17982186688162305,0.30728563733950526,-0.1274637704578822,-0.020593082024837797,MATERIAL_IMPROVEMENT,
(level) REL,earlier,24,,,,,,1.1642719615490142
(level) REL,later,18,,,,,,0.17982186688162305
(level) B0,earlier,24,,,,,,0.8734925483600219
(level) B0,later,18,,,,,,0.9877494804543896
(level) B1,earlier,24,,,,,,0.21037510287140804
(level) B1,later,18,,,,,,0.21013970043215585
(level) B1A,earlier,24,,,,,,0.33249511695136885
(level) B1A,later,18,,,,,,0.37437975196930573
(level) B2,earlier,24,,,,,,0.26570006582779143
(level) B2,later,18,,,,,,0.30001459928726926
(level) B3,earlier,24,,,,,,0.3566336816108284
(level) B3,later,18,,,,,,0.23840425253964442
(level) H0,earlier,24,,,,,,0.2644364605341918
(level) H0,later,18,,,,,,0.30728563733950526
