shot_id,era,block,max_abs_z_protected,worst_coordinate,worst_constructor,mean_abs_z_protected,n_coordinates_above_10_sigma,REL_nrmse_discharge
155537,earlier,A,5.842168528945202,"RATIO(ece21,prmtan_neped)",C3,1.01045855696637,0,0.0881634176028925
155537,earlier,B,3.253460738582202,"PROD(prmtan_neped,prmtan_neped)",C2,0.7492580907214057,0,0.0881634176028925
155537,earlier,C,3.9658982616838756,"PROD(prmtan_neped,prmtan_neped)",C2,0.6669958023291526,0,0.0881634176028925
159310,earlier,A,2.4103002522484016,"RATIO(fs03da,prmtan_neped)",C3,0.6620320540145583,0,0.1024085998029482
159310,earlier,B,2.6091907939022776,"RATIO(fs03da,prmtan_neped)",C3,0.5481330981742889,0,0.1024085998029482
159310,earlier,C,1.6929931224411703,"RATIO(fs03da,prmtan_neped)",C3,0.4585869626638741,0,0.1024085998029482
160717,earlier,A,6.688816906737136,"RATIO(ece21,prmtan_neped)",C3,1.312365823953813,0,0.3667649468845722
160717,earlier,B,8.038711803082968,"PROD(prmtan_neped,prmtan_neped)",C2,1.150606553273223,0,0.3667649468845722
160717,earlier,C,12.977860668612156,"RATIO(ip,ece22)",C3,1.6929865975529634,1,0.3667649468845722
160719,earlier,A,3.953313461882459,"PROD(prmtan_neped,prmtan_neped)",C2,1.1668048491389418,0,0.1743859588532056
160719,earlier,B,4.905726319432729,"PROD(prmtan_neped,prmtan_neped)",C2,0.8085819743669644,0,0.1743859588532056
160719,earlier,C,5.058268320057983,"PROD(prmtan_neped,prmtan_neped)",C2,0.8156716559767999,0,0.1743859588532056
160721,earlier,A,2.5244304139422407,"PROD(ece37,ece39)",C2,1.0788758191139183,0,0.1477670102128884
160721,earlier,B,3.7228715490096076,"PROD(prmtan_neped,prmtan_neped)",C2,0.7289264507256458,0,0.1477670102128884
160721,earlier,C,4.337350468670288,"PROD(prmtan_neped,prmtan_neped)",C2,0.824679825762379,0,0.1477670102128884
161136,earlier,A,4.269888497496358,"PROD(prmtan_neped,prmtan_neped)",C2,0.7081587848974814,0,0.3507506315519817
161136,earlier,B,5.282671865248517,"PROD(prmtan_neped,prmtan_neped)",C2,1.0385977334443357,0,0.3507506315519817
161136,earlier,C,3.9697077865124974,"RATIO(fs03da,prmtan_neped)",C3,1.190662072478247,0,0.3507506315519817
161145,earlier,A,3.7686146848477255,"RATIO(ip,ece22)",C3,0.6669787491712288,0,0.1348071042439103
161145,earlier,B,3.034452893739407,"RATIO(fs03da,prmtan_neped)",C3,0.5829498996039917,0,0.1348071042439103
161145,earlier,C,4.053233669960995,"PROD(prmtan_neped,prmtan_neped)",C2,0.6811235569162224,0,0.1348071042439103
161414,earlier,A,3.3654740812166435,"RATIO(fs03da,prmtan_neped)",C3,0.8251191798972265,0,0.1316860054311389
161414,earlier,B,4.399579431940976,"RATIO(fs03da,prmtan_neped)",C3,0.6041497316771062,0,0.1316860054311389
161414,earlier,C,2.116358933481806,"RATIO(fs03da,prmtan_neped)",C3,0.4648540142145995,0,0.1316860054311389
165017,earlier,A,8.887202926540404,"RATIO(ip,ece22)",C3,0.6928345496602375,0,0.2002137627391678
165017,earlier,B,1.5446013805905925,"RATIO(fs03da,prmtan_neped)",C3,0.44204778691076607,0,0.2002137627391678
165017,earlier,C,1.7655272112950522,"PROD(prmtan_neped,prmtan_neped)",C2,0.37794472040802707,0,0.2002137627391678
165026,earlier,A,2.405699285753852,"PROD(ece37,ece39)",C2,0.9203967155438035,0,0.1649247648569792
165026,earlier,B,3.032447582190769,"RATIO(fs03da,prmtan_neped)",C3,0.62452655620037,0,0.1649247648569792
165026,earlier,C,2.070957184215962,"RATIO(fs03da,prmtan_neped)",C3,0.5389491761446578,0,0.1649247648569792
165027,earlier,A,4.372623601167537,"RATIO(fs03da,prmtan_neped)",C3,0.9730842372186731,0,0.1190299581843449
165027,earlier,B,2.3754706012679585,"RATIO(fs03da,prmtan_neped)",C3,0.6243175001118004,0,0.1190299581843449
165027,earlier,C,2.215151610680981,"RATIO(fs03da,prmtan_neped)",C3,0.490520453076504,0,0.1190299581843449
165029,earlier,A,2.8433343890170835,"RATIO(fs03da,prmtan_neped)",C3,0.7407201857036125,0,0.1546676472311377
165029,earlier,B,2.205124622579281,"RATIO(fs03da,prmtan_neped)",C3,0.5111738307825385,0,0.1546676472311377
165029,earlier,C,2.1438861721978704,"RATIO(fs03da,prmtan_neped)",C3,0.4212505462963651,0,0.1546676472311377
165031,earlier,A,4.47726320515552,"RATIO(ip,ece22)",C3,0.9891877102037953,0,0.3144382275033943
165031,earlier,B,6.9628546180745365,"PROD(gasa,gasa)",C2,0.644314076886969,0,0.3144382275033943
165031,earlier,C,3.287618091038645,"PROD(prmtan_neped,prmtan_neped)",C2,0.5682825754939363,0,0.3144382275033943
165043,earlier,A,3.4726649700481445,"RATIO(fs03da,prmtan_neped)",C3,0.9406978759096883,0,0.1597994106811542
165043,earlier,B,2.9629529605978524,"RATIO(fs03da,prmtan_neped)",C3,0.6515641945505588,0,0.1597994106811542
165043,earlier,C,2.1508944785203434,"PROD(prmtan_neped,prmtan_neped)",C2,0.5432703047735223,0,0.1597994106811542
165860,earlier,A,4.344422071007146,"RATIO(fs03da,prmtan_neped)",C3,1.015336994813505,0,0.1011016505227557
165860,earlier,B,2.3311863924907628,"RATIO(fs03da,prmtan_neped)",C3,0.6602560579806619,0,0.1011016505227557
165860,earlier,C,2.2920439335152034,"PROD(prmtan_neped,prmtan_neped)",C2,0.5496660664448759,0,0.1011016505227557
165955,earlier,A,2.3231248260737063,"RATIO(ece21,prmtan_neped)",C3,0.7892477562150346,0,0.1935103166218603
165955,earlier,B,1.731962236588771,"RATIO(ece21,prmtan_neped)",C3,0.4729998486730087,0,0.1935103166218603
165955,earlier,C,1.9610155400010754,"RATIO(fs03da,prmtan_neped)",C3,0.3508678583763816,0,0.1935103166218603
165965,earlier,A,2.7379224766708474,"PROD(ece37,ece39)",C2,1.0026096657649888,0,0.1897777329274167
