shot_id,block,intercept,coef_l2_norm
155537,A,2.9425132523976577e+19,1.0019836485354093e+19
155537,B,3.1809739786750198e+19,9.509274031375852e+18
155537,C,3.2812030264845013e+19,9.184636127656646e+18
159310,A,2.8113894100378587e+19,2.3056098605909516e+19
159310,B,2.9203955982273294e+19,1.9554506357244154e+19
159310,C,2.982917064607882e+19,1.8273570340441186e+19
160717,A,3.077841244032233e+19,1.5407832181444397e+19
160717,B,3.476429713784792e+19,1.3392289436916894e+19
160717,C,3.93318215915222e+19,1.6289249427709237e+19
160719,A,3.0797980646568313e+19,1.5581269992493801e+19
160719,B,3.4196031888208667e+19,1.482139353993951e+19
160719,C,3.650163193834051e+19,1.3389925884048355e+19
160721,A,2.980407751794681e+19,1.1882134600801964e+19
160721,B,3.262096344536453e+19,1.3041916183630027e+19
160721,C,3.415482998587343e+19,1.1184308485931512e+19
161136,A,3.514520876410571e+19,7.395983388739507e+18
161136,B,3.767673353618703e+19,1.1809905948950061e+19
161136,C,4.0658409211816894e+19,1.1035957718118322e+19
161145,A,4.707804375694556e+19,2.208803569124162e+19
161145,B,4.954553717164221e+19,2.1940911235360137e+19
161145,C,5.0915941827222e+19,2.034689056059157e+19
161414,A,2.770133718257053e+19,1.4456261274773752e+19
161414,B,2.8961004731588764e+19,1.2808139491598598e+19
161414,C,3.009610270492306e+19,1.2325133420662581e+19
165017,A,3.3885619840034796e+19,2.2118321715738325e+19
165017,B,3.6114021350014095e+19,1.3666919259955685e+19
165017,C,3.7249465817070215e+19,1.3717798092396718e+19
165026,A,3.3516678666168947e+19,3.1089673427842634e+19
165026,B,3.778474016267113e+19,2.5014977996673597e+19
165026,C,3.963916504911654e+19,1.6052074498493313e+19
165027,A,3.343354542588415e+19,2.0278404646135194e+19
165027,B,3.723291500286475e+19,1.550931251212663e+19
165027,C,3.924822143824897e+19,1.4193323666589225e+19
165029,A,3.743013921514451e+19,2.260185560765398e+19
165029,B,4.033377237413335e+19,1.2888694891500513e+19
165029,C,4.129374870937369e+19,1.105423114544806e+19
165031,A,3.8993096521053176e+19,1.7590718631198204e+19
165031,B,4.244641339281702e+19,1.6217592689482994e+19
165031,C,4.397115529709592e+19,1.5426055829372836e+19
165043,A,2.96356750931484e+19,3.160702680054991e+19
165043,B,3.2881672743615717e+19,4.445197702876709e+19
165043,C,3.5034657506474918e+19,2.740679661051123e+19
165860,A,3.005664857700557e+19,2.44076098856025e+19
165860,B,3.430302273718323e+19,1.8975158977532363e+19
165860,C,3.632429022947446e+19,1.8538617655479906e+19
165955,A,3.5803122648886235e+19,1.2483647070581328e+19
165955,B,3.738566126178683e+19,1.1957399133161748e+19
165955,C,3.742532322883564e+19,1.2016396615253254e+19
165965,A,3.6433581958744506e+19,2.5510234915460284e+19
165965,B,3.8741979896973885e+19,1.4814881174773697e+19
165965,C,3.976474710035059e+19,1.2988436681204058e+19
170394,A,3.118466172821853e+19,1.9131477639354057e+19
170394,B,3.5580009578149245e+19,1.7065779492730102e+19
170394,C,3.845784987122161e+19,1.6132897790466087e+19
170411,A,3.0475145133905592e+19,1.6789031601811343e+19
170411,B,3.4573982597109363e+19,1.586460874665579e+19
170411,C,3.6462224198342484e+19,1.5176409044670669e+19
186997,A,3.697596168636224e+19,2.055452064427531e+19
186997,B,4.032681351067115e+19,1.84500758828949e+19
186997,C,4.294457654207319e+19,1.4875899849063608e+19
187018,A,4.187068089153097e+19,1.1508709356152201e+19
187018,B,4.6411463746040226e+19,1.3931469766317634e+19
187018,C,5.230274638230527e+19,1.787649859669944e+19
187019,A,4.608007615477932e+19,6.953534863966746e+18
187019,B,4.8303303593285616e+19,7.225434180684836e+18
187019,C,5.114231487941039e+19,1.199893732626238e+19
187021,A,3.897379161421259e+19,2.8504969405822054e+19
187021,B,4.097664559397952e+19,2.214482070768104e+19
187021,C,4.312682228187334e+19,1.939802228328351e+19
187022,A,4.422983246232787e+19,4.555412709692468e+18
187022,B,4.576258503041798e+19,4.691278896019159e+18
187022,C,4.767631911114154e+19,7.367366020884689e+18
189646,A,3.078553862758507e+19,1.4425982339477199e+19
189646,B,3.823990572143489e+19,1.9478197041658454e+19
189646,C,4.2956632995726025e+19,2.7496232595373912e+19
189649,A,3.408671322704285e+19,1.481396684390657e+19
189649,B,4.116323088092397e+19,1.4971599425154642e+19
189649,C,4.7309966303558205e+19,2.150867548730305e+19
189650,A,3.752824586732611e+19,1.5052289192427696e+19
189650,B,5.123091784060034e+19,1.7166910437304222e+19
189650,C,5.837512784245753e+19,1.9067578868015657e+19
189652,A,3.697440213159188e+19,1.555751517295601e+19
189652,B,5.078890657772963e+19,1.8442858813317237e+19
189652,C,5.7479770754553725e+19,2.6614726974211002e+19
195261,A,3.549665329263785e+19,3.6583500352142533e+19
195261,B,3.856058979194806e+19,2.1472429271604023e+19
195261,C,4.0592775749369225e+19,1.3242649497963713e+19
195265,A,2.962871309437836e+19,1.6603654634324183e+19
195265,B,3.215857761116722e+19,1.848864943415501e+19
195265,C,3.4445172240321004e+19,1.8471710918723346e+19
195266,A,2.9141751032239915e+19,1.9882046206644077e+19
195266,B,3.120493176329325e+19,1.7783195951401124e+19
195266,C,3.332736876106494e+19,1.7000892045943468e+19
195268,A,2.9909816497563353e+19,2.1614140578171822e+19
195268,B,3.40231762962327e+19,2.2541692266233766e+19
195268,C,3.779500891506175e+19,2.2343021086915772e+19
195269,A,3.0517333763276526e+19,1.862462543673217e+19
195269,B,3.323390606154053e+19,1.6189217190199544e+19
195269,C,3.5267830872854626e+19,1.6022178994903513e+19
195274,A,3.225153652833578e+19,2.3523688855196037e+19
195274,B,3.462157237412896e+19,3.0068232360420823e+19
195274,C,3.821461056575455e+19,2.08582714733587e+19
195626,A,3.842236393997132e+19,3.058235870312033e+19
195626,B,4.130228860373291e+19,2.5807797813870514e+19
195626,C,4.274259942717863e+19,2.2515706042737304e+19
195642,A,4.032622152310894e+19,1.7140617110370687e+19
195642,B,4.852904441194999e+19,2.6506304150155805e+19
195642,C,5.252523195787959e+19,2.6874269688039342e+19
195645,A,4.042766239752751e+19,1.5779141155017939e+19
195645,B,4.9792859875998876e+19,2.346041581042525e+19
195645,C,5.266950200905642e+19,1.9918325756048978e+19
195648,A,3.946968038245951e+19,3.3000933559360926e+19
195648,B,4.871226829590795e+19,3.1279080371666022e+19
195648,C,5.30068681943185e+19,2.5307002560734585e+19
195649,A,4.323627664242822e+19,1.5723740150249974e+19
195649,B,5.120618119282926e+19,2.8796002371600953e+19
195649,C,5.534639452775412e+19,2.837981294538907e+19
195651,A,3.879133820338284e+19,1.4914526809098693e+19
195651,B,4.539997486455725e+19,2.3199943265229996e+19
195651,C,4.901510103667051e+19,1.878542295296447e+19
195652,A,3.887381018578481e+19,2.937945622781622e+19
195652,B,4.602349195713198e+19,2.3653748450973192e+19
195652,C,4.838568470429083e+19,2.2034960805153763e+19
195659,A,3.279061173665619e+19,1.6889638496895541e+19
195659,B,4.22724738347877e+19,1.730456735654839e+19
195659,C,4.6955933168999965e+19,1.8652206368869757e+19
