coordinate_id,group,n_supports,share,group_size,in_C_dev_star
ID(pcdiamag3),ALL_217,217,1.0,217,True
"RATIO(ip,ece22)",ALL_217,182,0.8387096774193549,217,True
"RATIO(fs03da,prmtan_neped)",ALL_217,163,0.7511520737327189,217,True
"PROD(prmtan_neped,ece39)",ALL_217,160,0.7373271889400922,217,False
"PROD(ip,prmtan_neped)",ALL_217,155,0.7142857142857143,217,False
"PROD(fs03da,cerqtit11)",ALL_217,134,0.6175115207373272,217,False
"PROD(ece37,ece39)",ALL_217,111,0.511520737327189,217,True
"PROD(gasa,ece1)",ALL_217,109,0.5023041474654378,217,False
RECIP(cerqtit10),ALL_217,107,0.4930875576036866,217,True
RECIP(bt),ALL_217,97,0.4470046082949309,217,False
"PROD(pinj,cerqrott6)",ALL_217,96,0.4423963133640553,217,True
"RATIO(ece25,ece39)",ALL_217,93,0.42857142857142855,217,False
"PROD(prmtan_neped,prmtan_neped)",ALL_217,83,0.3824884792626728,217,True
"PROD(gasa,gasa)",ALL_217,69,0.31797235023041476,217,True
"RATIO(ip,bt)",ALL_217,55,0.2534562211981567,217,False
"RATIO(prmtan_neped,cerqtit10)",ALL_217,49,0.22580645161290322,217,False
"RATIO(cerqrott12,cerqtit10)",ALL_217,47,0.21658986175115208,217,False
ID(prmtan_neped),ALL_217,43,0.19815668202764977,217,True
"PROD(bt,bt)",ALL_217,36,0.16589861751152074,217,False
"RATIO(ece21,prmtan_neped)",ALL_217,31,0.14285714285714285,217,True
RECIP(prmtan_neped),ALL_217,31,0.14285714285714285,217,True
"PROD(pinj,ece36)",ALL_217,26,0.11981566820276497,217,False
"RATIO(gasa,ece6)",ALL_217,26,0.11981566820276497,217,False
"RATIO(gasd,bt)",ALL_217,21,0.0967741935483871,217,False
"PROD(prmtan_neped,cerqtit6)",ALL_217,20,0.09216589861751152,217,False
"RATIO(prmtan_neped,ece22)",ALL_217,20,0.09216589861751152,217,False
"RATIO(ece16,cerqtit10)",ALL_217,19,0.08755760368663594,217,False
"RATIO(prmtan_neped,bt)",ALL_217,18,0.08294930875576037,217,False
LEVEL_RATE(cerqrott12|ece33),ALL_217,17,0.07834101382488479,217,False
"RATIO(cerqtit8,ece22)",ALL_217,17,0.07834101382488479,217,False
"PROD(gasa,cerqtit6)",ALL_217,16,0.07373271889400922,217,False
"PROD(pinj,pinj_30l)",ALL_217,16,0.07373271889400922,217,False
