shot_id,cohort,era,block,gasa_pro_max,rank,gap_to_next
170394,external,earlier,C,0.008484234630394044,1,0.001459974400801721
170394,external,earlier,B,0.009944209031195765,2,0.001142553630749249
187020,development,earlier,C,0.011086762661945014,3,0.0023621948464878344
189649,external,later,B,0.013448957508432849,4,0.00047801171182164023
189646,external,later,A,0.013926969220254489,5,0.00016757930843307005
189649,external,later,A,0.01409454852868756,6,0.00012463914363774684
187024,development,earlier,C,0.014219187672325306,7,8.277743446694422e-05
189651,development,later,A,0.01430196510679225,8,0.00036564076556486885
189649,external,later,C,0.014667605872357119,9,0.00031108518872787275
189647,development,later,B,0.014978691061084992,10,4.104243687158039e-05
189646,external,later,B,0.015019733497956572,11,0.00020878453329766823
189652,external,later,C,0.01522851803125424,12,0.0002720793778013871
189650,external,later,A,0.015500597409055628,13,9.228478763339924e-05
189652,external,later,B,0.015592882196689027,14,0.00037704378118364433
189647,development,later,A,0.01596992597787267,15,2.7567764643222914e-05
189651,development,later,B,0.015997493742515894,16,3.166178091665653e-05
189646,external,later,C,0.01602915552343255,17,0.00012672306436377345
189651,development,later,C,0.016155878587796324,18,5.940749250268884e-05
189650,external,later,B,0.016215286080299013,19,1.762032320429957e-05
189647,development,later,C,0.016232906403503312,20,0.0005145325171694096
189650,external,later,C,0.016747438920672722,21,0.0011157668295331304
189652,external,later,A,0.017863205750205852,22,0.0029802873569100795
187017,development,earlier,C,0.020843493107115932,23,0.0008712613705904558
195642,external,later,A,0.021714754477706388,24,0.0015515962074214122
195659,external,later,C,0.0232663506851278,25,0.0006351052808184834
195659,external,later,B,0.023901455965946283,26,0.00019347864761625963
187018,external,earlier,C,0.024094934613562543,27,0.0012750798639032807
187021,external,earlier,C,0.025370014477465824,28,6.006487930816998e-05
195268,external,later,A,0.025430079356773994,29,0.00034907691000111984
195265,external,later,B,0.025779156266775113,30,0.0004583203086221954
195626,external,later,C,0.02623747657539731,31,0.0003744020274954775
195267,development,later,A,0.026611878602892786,32,0.0003740623485293283
195274,external,later,C,0.026985940951422115,33,7.611945809248011e-06
195269,external,later,A,0.026993552897231363,34,0.0002602394307063549
195266,external,later,B,0.027253792327937718,35,0.000661950865034653
195267,development,later,C,0.02791574319297237,36,7.949959817727878e-05
195626,external,later,A,0.02799524279114965,37,0.0005194528864819088
195265,external,later,A,0.028514695677631558,38,9.421664158973386e-05
195269,external,later,B,0.028608912319221292,39,0.0003118920552941315
195261,external,later,A,0.028920804374515423,40,0.00011406431991999033
195273,development,later,C,0.029034868694435414,41,0.0002042018635256826
195269,external,later,C,0.029239070557961096,42,4.2214105277330743e-05
195266,external,later,A,0.029281284663238427,43,0.0004358175120998918
195268,external,later,B,0.02971710217533832,44,0.00026632135485313985
195268,external,later,C,0.02998342353019146,45,7.233226503888454e-05
195261,external,later,C,0.030055755795230343,46,0.00026992413253423136
195264,development,later,A,0.030325679927764575,47,0.0004372518194967548
195266,external,later,C,0.03076293174726133,48,0.00023642666473706886
195264,development,later,B,0.0309993584119984,49,0.0014952769147435
195659,external,later,A,0.0324946353267419,50,0.00013632720843189533
187021,external,earlier,B,0.032630962535173794,51,0.00013271681272978425
195261,external,later,B,0.03276367934790358,52,3.6396008425837456e-07
195264,development,later,C,0.032764043307987836,53,0.00016421590213624992
187018,external,earlier,A,0.032928259210124086,54,0.0003502841121875988
187021,external,earlier,A,0.033278543322311685,55,0.00013661281961471067
195267,development,later,B,0.033415156141926396,56,0.001304030374186152
195265,external,later,C,0.03471918651611255,57,0.00021564353516674573
187018,external,earlier,B,0.03493483005127929,58,0.000246740780092701
187020,development,earlier,A,0.035181570831371994,59,0.0006245752100645929
187022,external,earlier,A,0.03580614604143659,60,0.0005041992243838278
187024,development,earlier,A,0.036310345265820415,61,0.001032679677408374
187020,development,earlier,B,0.03734302494322879,62,0.0018736514245704869
187017,development,earlier,A,0.039216676367799276,63,0.0013629864795521932
187019,external,earlier,A,0.04057966284735147,64,0.0015368763151791948
186997,external,earlier,A,0.042116539162530664,65,0.0010142512786140284
187024,development,earlier,B,0.04313079044114469,66,7.645224149598062e-05
186997,external,earlier,B,0.04320724268264067,67,0.0013114327344553034
187017,development,earlier,B,0.044518675417095976,68,0.0009527103098885548
186997,external,earlier,C,0.04547138572698453,69,0.02331029680754547
161414,external,earlier,C,0.06878168253453,70,0.004752033617135928
161414,external,earlier,B,0.07353371615166593,71,0.00031237949978032975
161136,external,earlier,C,0.07384609565144626,72,0.006862797595808504
161136,external,earlier,A,0.08070889324725476,73,0.0012512371722636917
161136,external,earlier,B,0.08196013041951845,74,0.0025137250231689195
161138,development,earlier,B,0.08447385544268737,75,4.711946899531305e-05
161138,development,earlier,A,0.08452097491168269,76,8.946286464006636e-05
161138,development,earlier,C,0.08461043777632275,77,0.462068378884361
161414,external,earlier,A,0.5466788166606837,78,0.17776264088041727
195642,external,later,B,0.724441457541101,79,0.007980725234988495
195273,development,later,A,0.7324221827760895,80,0.05795367783231686
159310,external,earlier,C,0.7903758606084064,81,0.007739864541465469
195274,external,later,A,0.7981157251498718,82,0.11100942986345219
195642,external,later,C,0.909125155013324,83,0.47784032176561875
195626,external,later,B,1.3869654767789428,84,0.06811683375879496
195647,development,later,A,1.4550823105377377,85,0.041332863213988214
195638,development,later,A,1.496415173751726,86,0.08775552747497417
160715,development,earlier,C,1.5841707012267001,87,0.03944401633836314
187022,external,earlier,B,1.6236147175650633,88,0.006940687331165263
187019,external,earlier,B,1.6305554048962285,89,0.0010452225105144208
170411,external,earlier,B,1.631600627406743,90,0.0010366708776941014
159310,external,earlier,B,1.632637298284437,91,0.0014188890904651696
165031,external,earlier,A,1.6340561873749022,92,0.003889948748967198
161145,external,earlier,C,1.6379461361238694,93,0.03735270148081815
170411,external,earlier,A,1.6752988376046876,94,0.11825866494496995
195273,development,later,B,1.7935575025496575,95,0.008038213415820783
161145,external,earlier,B,1.8015957159654783,96,0.038813333517554005
160715,development,earlier,A,1.8404090494830323,97,0.0028192728157923064
170396,development,earlier,B,1.8432283222988246,98,0.012122387222749387
170396,development,earlier,A,1.855350709521574,99,0.04753889038119108
165017,external,earlier,A,1.902889599902765,100,0.0024276062492103456
165017,external,earlier,B,1.9053172061519754,101,0.028124800950408924
170396,development,earlier,C,1.9334420071023843,102,0.018131507768043953
195647,development,later,B,1.9515735148704283,103,0.017126361357474584
165017,external,earlier,C,1.9686998762279029,104,0.06492536607795851
170411,external,earlier,C,2.0336252423058614,105,0.058382615356059375
161145,external,earlier,A,2.0920078576619208,106,0.17629061046854666
159310,external,earlier,A,2.2682984681304674,107,0.007202681307035164
165955,external,earlier,A,2.2755011494375026,108,0.061748185170357406
160715,development,earlier,B,2.33724933460786,109,0.14014248144253294
160721,external,earlier,A,2.477391816050393,110,0.07213224713313426
160721,external,earlier,C,2.549524063183527,111,0.014469193653574575
195647,development,later,C,2.5639932568371018,112,0.07432112654476519
170394,external,earlier,A,2.638314383381867,113,0.22113954706287187
165965,external,earlier,A,2.859453930444739,114,0.00697173489027314
165965,external,earlier,B,2.866425665335012,115,0.0039043347161316078
