coordinate_id,constructor
ID(bt),C0
ID(ip),C0
ID(pcdiamag3),C0
ID(prmtan_neped),C0
ID(gasc),C0
ID(pinj),C0
ID(pinj_15l),C0
ID(pinj_30l),C0
ID(pinj_33r),C0
ID(tinj),C0
ID(ece1),C0
ID(ece2),C0
ID(ece3),C0
ID(ece4),C0
ID(ece5),C0
ID(ece6),C0
ID(ece7),C0
ID(ece8),C0
ID(ece9),C0
ID(ece10),C0
ID(ece11),C0
ID(ece12),C0
ID(ece14),C0
ID(ece15),C0
ID(ece19),C0
ID(ece20),C0
ID(ece21),C0
ID(ece22),C0
ID(ece25),C0
ID(ece27),C0
ID(ece28),C0
ID(ece29),C0
ID(ece30),C0
ID(ece31),C0
ID(ece35),C0
ID(ece36),C0
ID(ece37),C0
ID(ece38),C0
ID(ece39),C0
ID(cerqrott3),C0
ID(cerqrott6),C0
ID(cerqrott8),C0
ID(cerqrott10),C0
ID(cerqrott11),C0
ID(cerqrott12),C0
ID(cerqtit3),C0
ID(cerqtit6),C0
ID(cerqtit8),C0
ID(cerqtit10),C0
ID(cerqtit11),C0
ID(cerqtit12),C0
DOT(ip),C1
DOT(gasc),C1
DOT(pinj),C1
DOT(pinj_15l),C1
DOT(pinj_30l),C1
DOT(pinj_33r),C1
DOT(tinj),C1
DOT(ece1),C1
DOT(ece20),C1
DOT(cerqrott3),C1
DOT(cerqrott6),C1
DOT(cerqrott8),C1
DOT(cerqrott10),C1
DOT(cerqrott11),C1
DOT(cerqrott12),C1
DOT(cerqrott13),C1
DOT(cerqtit3),C1
DOT(cerqtit12),C1
"PROD(bt,bt)",C2
"PROD(bt,ip)",C2
"PROD(bt,prmtan_neped)",C2
"PROD(bt,gasc)",C2
"PROD(bt,pinj)",C2
"PROD(bt,pinj_15l)",C2
"PROD(bt,pinj_30l)",C2
"PROD(bt,pinj_33r)",C2
"PROD(bt,tinj)",C2
"PROD(bt,ece1)",C2
"PROD(bt,ece2)",C2
"PROD(bt,ece3)",C2
"PROD(bt,ece4)",C2
"PROD(bt,ece5)",C2
"PROD(bt,ece6)",C2
"PROD(bt,ece7)",C2
"PROD(bt,ece8)",C2
"PROD(bt,ece9)",C2
