discharge,outer_fold,era,frac_fold_basis_supported,worst_block,worst_block_rate
159310,1,earlier,0.9720342805593144,A,0.9720342805593144
189646,5,later,0.9804421768707483,A,0.9804421768707483
161414,4,earlier,0.9879356568364611,A,0.9879356568364611
187018,5,earlier,0.9885204081632653,A,0.9940476190476191
160715,2,earlier,0.9915102770330653,A,0.9915102770330653
160720,5,earlier,0.9927721088435374,A,0.9940476190476191
187017,4,earlier,0.9937444146559428,A,0.9964253798033958
161138,2,earlier,0.9946380697050938,A,0.9955317247542449
165043,1,earlier,0.9950383400992332,B,0.9950383400992332
160717,3,earlier,0.9951176209498447,C,0.9951176209498447
195264,0,later,0.9951284322409212,A,0.9951284322409212
161136,1,earlier,0.9972936400541272,A,0.9972936400541272
165965,5,earlier,0.997874149659864,C,0.997874149659864
189651,3,later,0.9982245894363071,B,0.9982245894363071
189649,1,later,0.9986468200270636,B,0.9990978800180425
165027,2,earlier,0.9991063449508489,A,0.9991063449508489
195268,4,later,0.9991063449508489,B,0.9991063449508489
195650,3,later,0.9991122947181535,B,0.9991122947181535
189650,2,later,0.9995531724754245,A,0.9995531724754245
195642,4,later,0.9995531724754245,A,0.9995531724754245
186997,3,earlier,0.9995561473590768,C,0.9995561473590768
165028,3,earlier,0.9995561473590768,C,0.9995561473590768
170394,0,earlier,0.9995571302037201,C,0.9995571302037201
189647,0,later,0.9995571302037201,A,0.9995571302037201
165017,5,earlier,0.9995748299319728,C,0.9995748299319728
195645,5,later,0.9995748299319728,B,0.9995748299319728
170396,1,earlier,1.0,A,1.0
165022,0,earlier,1.0,A,1.0
187019,0,earlier,1.0,A,1.0
160721,0,earlier,1.0,A,1.0
165042,0,earlier,1.0,A,1.0
155537,0,earlier,1.0,A,1.0
195649,2,later,1.0,A,1.0
195626,2,later,1.0,A,1.0
195266,2,later,1.0,A,1.0
187021,2,earlier,1.0,A,1.0
165860,2,earlier,1.0,A,1.0
170411,2,earlier,1.0,A,1.0
195659,1,later,1.0,A,1.0
195648,1,later,1.0,A,1.0
187020,1,earlier,1.0,A,1.0
195274,1,later,1.0,A,1.0
195265,1,later,1.0,A,1.0
195273,0,later,1.0,A,1.0
195655,0,later,1.0,A,1.0
195647,0,later,1.0,A,1.0
165026,1,earlier,1.0,A,1.0
165861,3,earlier,1.0,A,1.0
187024,4,earlier,1.0,A,1.0
165955,4,earlier,1.0,A,1.0
165029,4,earlier,1.0,A,1.0
160719,4,earlier,1.0,A,1.0
195638,3,later,1.0,A,1.0
161145,3,earlier,1.0,A,1.0
187022,3,earlier,1.0,A,1.0
195267,3,later,1.0,A,1.0
165031,5,earlier,1.0,A,1.0
195651,4,later,1.0,A,1.0
189652,4,later,1.0,A,1.0
195261,5,later,1.0,A,1.0
195269,5,later,1.0,A,1.0
195652,5,later,1.0,A,1.0
