discharge,processing_era,operational_period,epoch1_cohort_reference_only,position,outer_fold
155537,earlier,1,external,0,0
160721,earlier,2,external,6,0
165022,earlier,3,development,12,0
165042,earlier,3,development,18,0
170394,earlier,4,external,24,0
187019,earlier,5,external,30,0
189647,later,6,development,36,0
195264,later,7,development,42,0
195273,later,7,development,48,0
195647,later,7,development,54,0
195655,later,7,development,60,0
159310,earlier,2,external,1,1
161136,earlier,2,external,7,1
165026,earlier,3,external,13,1
165043,earlier,3,external,19,1
170396,earlier,4,development,25,1
187020,earlier,5,development,31,1
189649,later,6,external,37,1
195265,later,7,external,43,1
195274,later,7,external,49,1
195648,later,7,external,55,1
195659,later,7,external,61,1
160715,earlier,2,development,2,2
161138,earlier,2,development,8,2
165027,earlier,3,external,14,2
165860,earlier,3,external,20,2
170411,earlier,4,external,26,2
187021,earlier,5,external,32,2
189650,later,6,external,38,2
195266,later,7,external,44,2
195626,later,7,external,50,2
195649,later,7,external,56,2
160717,earlier,2,external,3,3
161145,earlier,2,external,9,3
165028,earlier,3,development,15,3
165861,earlier,3,development,21,3
186997,earlier,5,external,27,3
187022,earlier,5,external,33,3
189651,later,6,development,39,3
195267,later,7,development,45,3
195638,later,7,development,51,3
195650,later,7,development,57,3
160719,earlier,2,external,4,4
161414,earlier,2,external,10,4
165029,earlier,3,external,16,4
165955,earlier,3,external,22,4
187017,earlier,5,development,28,4
187024,earlier,5,development,34,4
189652,later,6,external,40,4
195268,later,7,external,46,4
195642,later,7,external,52,4
195651,later,7,external,58,4
160720,earlier,2,development,5,5
165017,earlier,3,external,11,5
165031,earlier,3,external,17,5
165965,earlier,3,external,23,5
187018,earlier,5,external,29,5
189646,later,6,external,35,5
195261,later,7,external,41,5
195269,later,7,external,47,5
195645,later,7,external,53,5
195652,later,7,external,59,5
