coordinate_id,n_folds,share
ID(pcdiamag3),6,1.0
"RATIO(ece21,cerqtit10)",6,1.0
"RATIO(prmtan_neped,cerqtit3)",5,0.8333333333333334
"RATIO(tinj,ece20)",5,0.8333333333333334
RECIP(cerqtit10),4,0.6666666666666666
"PROD(prmtan_neped,cerqtit6)",3,0.5
"RATIO(fs03da,cerqtit3)",3,0.5
"RATIO(ip,bt)",3,0.5
"PROD(ece37,ece39)",3,0.5
"RATIO(ip,ece39)",3,0.5
RECIP(bt),3,0.5
"PROD(fs04,cerqrott8)",2,0.3333333333333333
"PROD(pinj,ece36)",2,0.3333333333333333
"RATIO(ip,cerqtit10)",2,0.3333333333333333
"RATIO(pinj_33r,cerqtit10)",2,0.3333333333333333
"RATIO(ece39,bt)",1,0.16666666666666666
RECIP(cerqtit11),1,0.16666666666666666
RECIP(ece1),1,0.16666666666666666
RECIP(ece38),1,0.16666666666666666
RECIP(ece39),1,0.16666666666666666
"PROD(cerqtit8,cerqtit8)",1,0.16666666666666666
"PROD(ip,gasc)",1,0.16666666666666666
"PROD(pinj,cerqrott6)",1,0.16666666666666666
"RATIO(pinj_33r,prmtan_neped)",1,0.16666666666666666
"RATIO(prmtan_neped,ece38)",1,0.16666666666666666
ID(ece39),1,0.16666666666666666
"RATIO(cerqrott12,cerqtit10)",1,0.16666666666666666
"PROD(prmtan_neped,pinj_30l)",1,0.16666666666666666
RATE_OVER_LEVEL(cerqrott3|prmtan_neped),1,0.16666666666666666
RATE_OVER_LEVEL(ip|ece39),1,0.16666666666666666
LEVEL_RATE(cerqrott12|ece35),1,0.16666666666666666
"PROD(prmtan_neped,gasc)",1,0.16666666666666666
"RATIO(pinj,bt)",1,0.16666666666666666
LEVEL_RATE(cerqrott12|ece36),1,0.16666666666666666
"PROD(ip,ece39)",1,0.16666666666666666
