coordinate_id,constructor,search_stratum,round_robin_order,J_search
ID(cerqtit8),C0,C0:CER,1,0.6907038517048925
ID(prmtan_neped),C0,C0:DEN,2,0.4749403987211188
ID(ece39),C0,C0:ECE,3,0.747501428151022
ID(gasc),C0,C0:GAS,4,0.9153416501555379
ID(pcdiamag3),C0,C0:MAG,5,0.538198171040617
ID(pinj),C0,C0:NBI,6,0.5373040280911974
ID(cerqtit6),C0,C0:CER,7,0.6915089090171271
ID(ece38),C0,C0:ECE,8,0.7781276587481141
ID(bt),C0,C0:MAG,9,0.7107422225225698
ID(tinj),C0,C0:NBI,10,0.6248522585469444
ID(cerqtit10),C0,C0:CER,11,0.7205864026248128
ID(ece37),C0,C0:ECE,12,0.8108210278066368
ID(ip),C0,C0:MAG,13,0.7891436652572921
ID(pinj_30l),C0,C0:NBI,14,0.6906357143959257
ID(cerqtit3),C0,C0:CER,15,0.7297246278646182
ID(ece36),C0,C0:ECE,16,0.8139734941237755
ID(pinj_15l),C0,C0:NBI,17,0.6997747210106015
ID(cerqtit11),C0,C0:CER,18,0.7700748368157163
ID(ece35),C0,C0:ECE,19,0.8210014695573048
ID(pinj_33r),C0,C0:NBI,20,0.9127512035595131
ID(cerqtit12),C0,C0:CER,21,0.8331613338316245
ID(ece28),C0,C0:ECE,22,0.8340907845491193
ID(cerqrott3),C0,C0:CER,23,0.881914219449303
ID(ece1),C0,C0:ECE,24,0.8393706435854128
ID(cerqrott6),C0,C0:CER,25,0.8828215848442278
ID(ece4),C0,C0:ECE,26,0.8443389581455981
ID(cerqrott8),C0,C0:CER,27,0.9254118997159698
ID(ece3),C0,C0:ECE,28,0.8469540449166771
ID(cerqrott12),C0,C0:CER,29,0.9325790126266332
ID(ece27),C0,C0:ECE,30,0.8511225859881684
ID(cerqrott10),C0,C0:CER,31,0.9745012416334026
ID(ece2),C0,C0:ECE,32,0.8511401475623545
ID(cerqrott11),C0,C0:CER,33,0.9861556825317649
ID(ece31),C0,C0:ECE,34,0.8521068466403697
ID(ece29),C0,C0:ECE,35,0.853214325049745
ID(ece30),C0,C0:ECE,36,0.8548513703951983
ID(ece25),C0,C0:ECE,37,0.860212312374601
ID(ece21),C0,C0:ECE,38,0.8706083630884186
