canonical_or_augmentation,noise_sigma,noise_percent,noise_replicate,dev_noise_seed,conf_noise_seed,representation_id,representation_label,n_coordinates,n_features,n_active_terms,stlsq_threshold,estimator,cohort,trajectory_id,support_scope,rmse,nrmse,n_samples
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_000,native,2.6410129605837898,0.3042247374907151,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_000,common,2.4614065152925058,0.2790939930765229,2067
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_001,native,2.0481726891884304,0.2306619121650818,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_001,common,1.9399492965381349,0.2097939378958067,2123
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_002,native,1.644930523593333,0.2237158278439757,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_002,common,1.5810306440195363,0.207936132460697,2139
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_003,native,2.2132334190813823,0.2784031432188816,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_003,common,2.1612601172069144,0.2698375948190863,2072
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_004,native,2.2500700372318985,0.2586481685666288,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_004,common,2.242013982854806,0.2492657591320683,2092
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_005,native,2.358293801004328,0.2743030894301663,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_005,common,2.1606823705974594,0.2486738753243867,2027
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_006,native,2.331266881617696,0.2607915198057964,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_006,common,2.346619742502386,0.2537217861948251,2090
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_007,native,2.6719045844342406,0.3306129562842567,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_007,common,2.4916494848238577,0.3113196291302082,2047
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_008,native,2.094217307920892,0.249799716425785,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_008,common,2.0528612287960324,0.2375118740500054,2111
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_009,native,2.236505038917758,0.2586837324385941,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_009,common,2.113061720564456,0.2367383069251952,2099
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_010,native,2.4438221963781634,0.2927637303206314,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_010,common,2.3244059778973503,0.2751365866899817,2085
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_011,native,2.221514499168566,0.2578178693353442,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_011,common,2.2207800672603595,0.2489553137274704,2096
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_012,native,2.133825873840145,0.2389031799249911,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_012,common,2.0234311385359662,0.2171610100327468,2115
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_013,native,2.185418984886381,0.2492692965452369,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_013,common,2.156823463900141,0.237624330872068,2123
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_014,native,2.5368906792168104,0.3066974253550257,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_014,common,2.4010524249872662,0.287994324175104,2074
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_015,native,2.610368073423949,0.2826148803495288,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_015,common,2.474913560067481,0.2597712179698369,2077
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_016,native,2.197289743117337,0.2638142900471537,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_016,common,2.1253532419192607,0.2493180084921286,2117
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_017,native,2.22965082846419,0.2588136996503499,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_017,common,2.178074942297402,0.2454155056059559,2100
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_018,native,2.13654622354155,0.2363505669513095,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_018,common,2.0379241641756582,0.2166423030265661,2133
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_019,native,2.266708479335589,0.2487756557217569,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_019,common,2.196263634940781,0.2313110555220283,2110
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_020,native,2.3457947264042813,0.2710055975745815,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_020,common,2.315497183247058,0.2611388165710885,2118
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_021,native,2.0525032484890264,0.2435666761944379,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_021,common,2.0106479829244828,0.2305125075713628,2120
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_022,native,1.985861678680239,0.2330759328286178,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_022,common,1.937882445154547,0.2191337922753726,2129
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_023,native,2.3183526086875608,0.2548125725601436,2397
augmentation,0.0,0.0,0,5000,5500,C0_poly2,conventional quadratic,10,65,65,0.0001,pysindy.STLSQ,confirmation_24,conf_023,common,2.283410488969346,0.2422829960518468,2107
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_000,native,3.4755107708546565e-05,4.042440576275461e-06,2249
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_000,common,3.525972421060207e-05,3.998030054594389e-06,2067
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_001,native,3.2614580502284835e-05,3.5862587281289973e-06,2261
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_001,common,3.286178606484758e-05,3.5538060284032766e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_002,native,2.313060943437524e-05,3.120320058000661e-06,2324
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_002,common,2.347163777761389e-05,3.086974689868892e-06,2139
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_003,native,2.9668826343598252e-05,3.800650832857319e-06,2247
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_003,common,3.036704434473271e-05,3.7913854711467473e-06,2072
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_004,native,3.36329505996098e-05,3.824431549385336e-06,2256
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_004,common,3.407464909968165e-05,3.78839888597655e-06,2092
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_005,native,3.1244129417804884e-05,3.681275121520792e-06,2188
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_005,common,3.154026546164424e-05,3.629982892366644e-06,2027
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_006,native,3.4475048689110053e-05,3.8079086698149338e-06,2257
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_006,common,3.4887239675885976e-05,3.772086548855821e-06,2090
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_007,native,3.2687113103101274e-05,4.19506303609983e-06,2225
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_007,common,3.3084120430033944e-05,4.133701856987092e-06,2047
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_008,native,3.064759453262785e-05,3.624519925150265e-06,2263
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_008,common,3.118372500299918e-05,3.6078936371486415e-06,2111
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_009,native,3.2641109847552225e-05,3.729674412072296e-06,2241
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_009,common,3.302847025535394e-05,3.7003671272285257e-06,2099
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_010,native,3.2840847147810096e-05,3.982633755731145e-06,2262
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_010,common,3.337657449595604e-05,3.9507370354159295e-06,2085
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_011,native,3.357984029380064e-05,3.846744094469283e-06,2249
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_011,common,3.3980018879746985e-05,3.80924990519604e-06,2096
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_012,native,3.357072726477319e-05,3.663731442096433e-06,2243
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_012,common,3.3951904379591764e-05,3.643825434525077e-06,2115
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_013,native,3.291883764200364e-05,3.701726078501026e-06,2287
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_013,common,3.338836557844324e-05,3.678505989147053e-06,2123
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_014,native,3.328114655477448e-05,4.097803722999354e-06,2247
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_014,common,3.4339030243616847e-05,4.118796284879677e-06,2074
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_015,native,3.818057472630216e-05,4.082479792356001e-06,2221
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_015,common,3.870920348753322e-05,4.062985107376674e-06,2077
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_016,native,3.163571539012528e-05,3.795176784741336e-06,2286
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_016,common,3.218691192968636e-05,3.775737897844367e-06,2117
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_017,native,3.1979070920875767e-05,3.687360128962236e-06,2272
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_017,common,3.268466980206109e-05,3.6827588478547774e-06,2100
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_018,native,3.3900542288892696e-05,3.667963039323328e-06,2285
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_018,common,3.4308837403629204e-05,3.647214003320273e-06,2133
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_019,native,3.311536558911064e-05,3.5507583894370386e-06,2249
augmentation,0.0,0.0,0,5000,5500,C_compact,compact (12 coordinates),12,12,12,0.0001,pysindy.STLSQ,confirmation_24,conf_019,common,3.365930943776628e-05,3.5450071978276974e-06,2110
