canonical_or_augmentation,noise_sigma,noise_percent,representation_id,support_scope,n_observations,n_trajectories,n_replicates,mean_rmse,median_rmse,std_rmse,se_rmse,ci_lo,ci_hi,ci_method
augmentation,0.0,0.0,C0_poly2,common,24,24,1,2.1765414924780497,2.169667529752158,0.20521391938595201,0.04188911588435196,2.0942388061372967,2.2516639893337884,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.0,0.0,C0_poly2,native,24,24,1,2.2564231286336476,2.233077933690974,0.22727735642977864,0.0463927961118016,2.1686841693196954,2.3410094373686228,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.0,0.0,C_all,common,24,24,1,1.330530802391035e-05,1.2507025838353932e-05,2.6345952308430413e-06,5.377844995279591e-07,1.2375838489582045e-05,1.4410987690276753e-05,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.0,0.0,C_all,native,24,24,1,1.330530802391035e-05,1.2507025838353932e-05,2.6345952308430413e-06,5.377844995279591e-07,1.2375838489582045e-05,1.4410987690276753e-05,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.0,0.0,C_compact,common,24,24,1,3.3003720588474926e-05,3.3382470037199646e-05,2.738442520537865e-06,5.589822387715678e-07,3.1873644238117834e-05,3.402758470015156e-05,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.0,0.0,C_compact,native,24,24,1,3.248954107957992e-05,3.287984239490686e-05,2.722925167071582e-06,5.55814772259001e-07,3.135663492775568e-05,3.349380535937845e-05,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.001,0.1,C0_poly2,common,72,24,3,2.3957232316274397,2.4013951098744735,0.21886485231189745,0.025793470205522487,2.3422963099593495,2.4455687882608506,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.001,0.1,C0_poly2,native,72,24,3,2.4897709753264134,2.484963004128744,0.24002822583736658,0.028287597694296333,2.430827402775549,2.5446920237727615,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.001,0.1,C_all,common,72,24,3,0.6176260434637327,0.6175322384198538,0.07002524541932251,0.008252554315042529,0.6012465489530237,0.6339512210729918,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.001,0.1,C_all,native,72,24,3,0.6176260434637327,0.6175322384198538,0.07002524541932251,0.008252554315042529,0.6012465489530237,0.6339512210729918,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.001,0.1,C_compact,common,72,24,3,0.6437855069883605,0.6467880338982174,0.08194016219430648,0.009656740723186615,0.624089825906043,0.6625648863228533,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.001,0.1,C_compact,native,72,24,3,0.6942316804743857,0.7068370277807257,0.09871026443242625,0.01163311622548098,0.6706299773838582,0.7162613213420924,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.002,0.2,C0_poly2,common,72,24,3,2.4917385132279875,2.500424709158037,0.20706695667688585,0.024403074870981176,2.441343688137754,2.538436823713661,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.002,0.2,C0_poly2,native,72,24,3,2.599782340478828,2.5978547437871606,0.22922422559316089,0.02701433405485984,2.5441826861390484,2.6518139198504036,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.002,0.2,C_all,common,72,24,3,1.088153811932938,1.0924378499535694,0.10587351392537069,0.012477313274112998,1.0641853334411946,1.1112765531925684,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.002,0.2,C_all,native,72,24,3,1.088153811932938,1.0924378499535694,0.10587351392537069,0.012477313274112998,1.0641853334411946,1.1112765531925684,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.002,0.2,C_compact,common,72,24,3,1.2355333082105675,1.2492106671584136,0.15399160026958464,0.018148084132731914,1.2014659095559723,1.269215308096149,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.002,0.2,C_compact,native,72,24,3,1.3595144254015457,1.3695126752880469,0.176864442661926,0.020843674459504535,1.3198123688052665,1.3976569607983462,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.003,0.3,C0_poly2,common,72,24,3,2.5862954533235563,2.609950610937208,0.19631233563442826,0.02313563062627896,2.538926726658654,2.629248860872346,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.003,0.3,C0_poly2,native,72,24,3,2.7063263509052655,2.7063096907370054,0.22021233543529922,0.02595227261453779,2.652276794277249,2.756267045494117,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.003,0.3,C_all,common,72,24,3,1.429521346172587,1.4422650339741758,0.12395108446501708,0.014607775393440018,1.4006792485954802,1.4560338512672346,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.003,0.3,C_all,native,72,24,3,1.429521346172587,1.4422650339741758,0.12395108446501708,0.014607775393440018,1.4006792485954802,1.4560338512672346,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.003,0.3,C_compact,common,72,24,3,1.830959535869505,1.8617492117684704,0.24098282479368344,0.028400098260183873,1.776793618316331,1.8828381010690212,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.003,0.3,C_compact,native,72,24,3,2.0069917144230778,2.0322038781673815,0.2708628215781763,0.031921489651541735,1.9433599664221868,2.0654703422824565,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.004,0.4,C0_poly2,common,72,24,3,2.6604572902804966,2.673348270515668,0.19668571317713993,0.02317963359167799,2.6135951884896342,2.7041750770186668,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.004,0.4,C0_poly2,native,72,24,3,2.7884570373892874,2.793289912805262,0.22033270747547393,0.02596645859551659,2.7345243403134174,2.8376549282134285,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.004,0.4,C_all,common,72,24,3,1.659907221784116,1.6666431419943417,0.1554942256490223,0.01832517023196248,1.6235243787913882,1.6940135159239342,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.004,0.4,C_all,native,72,24,3,1.659907221784116,1.6666431419943417,0.1554942256490223,0.01832517023196248,1.6235243787913882,1.6940135159239342,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
augmentation,0.004,0.4,C_compact,common,72,24,3,2.403808395997186,2.4097676011929834,0.320193177915396,0.0377351278989412,2.328790763627583,2.473517673439366,"percentile bootstrap, 2000 resamples, seed 0, resampling trajectory-level observations"
