feature,display_name,block_setting,observed_between_variance,mean_within_variance,heterogeneity_ratio,resolved_fraction,mu_REML,tau2_REML,tau_REML,tau2_REML_interval_low,tau2_REML_interval_high,fraction_total_variance_between,tau2_ML,tau_ML,tau2_ML_interval_low,tau2_ML_interval_high,tau2_original_mislabeled_REML,tau2_bootstrap_q025,tau2_bootstrap_q975
d[pcdiamag3]/d[kappa],D_kappa W_dia,primary,0.013375865355175187,0.07263358152194951,0.18415538756178595,0.0,0.24521793692617108,0.0,0.0,0.0,0.005769415440837111,0.0,0.0,0.0,0.0,0.005769415440837111,0.0,0.0,1.347290274867198e-16
d[pcdiamag3]/d[kappa],D_kappa W_dia,short,0.013375865355175187,0.0526753464006069,0.253930277998534,0.0,0.23749268283021285,0.0006194953101192285,0.024889662716060027,0.0,0.008368496601963309,0.011623926260663775,0.0003680578955847754,0.019184835041896383,0.0,0.007768627856952341,,0.0,0.004891953820532605
d[pcdiamag3]/d[kappa],D_kappa W_dia,long,0.013375865355175187,0.08480970728921616,0.15771620705588701,0.0,0.2601235216808519,0.0,0.0,0.0,0.007211758772257524,0.0,0.0,0.0,0.0,0.007211758772257524,,0.0,0.0010333005263287406
d[kappa]/d[t],dot kappa,primary,0.20861470003072194,0.02063569765614229,10.109408632890442,0.9010822456274493,0.8966658885755903,0.18422126763485683,0.4292100507150978,0.12355775146625364,0.2535803415350334,0.8992677762904996,0.17007708837513733,0.41240403535263487,0.12355775146625364,0.2535803415350334,0.1696689550656825,0.13316182687516415,0.21136446317042015
d[kappa]/d[t],dot kappa,short,0.20861470003072194,0.015725185054191314,13.266279494441866,0.9246209157270532,0.8928676607035207,0.18422126763485683,0.4292100507150978,0.13383322714826817,0.27466893049006935,0.9213530180570558,0.18422126763485683,0.4292100507150978,0.13383322714826817,0.2535803415350334,,0.1418094065562207,0.2252897359444332
d[kappa]/d[t],dot kappa,long,0.20861470003072194,0.024206389538892117,8.618166690887263,0.8839660410540229,0.9022778663255575,0.17007708837513733,0.41240403535263487,0.11407120841884288,0.2535803415350334,0.8754068549791791,0.17007708837513733,0.41240403535263487,0.11407120841884288,0.2535803415350334,,0.1249976769723885,0.2083875336020815
r[q95]/r[kappa],q95 / kappa,primary,0.00021932282944847408,0.000491424488524381,0.44630016323981553,0.0,-0.01031176833107081,2.3729905271652148e-05,0.004871335060499549,0.0,7.804676632301057e-05,0.04606367636077586,2.2211122613358544e-05,0.004712867769560116,0.0,7.804676632301057e-05,2.0717299594890256e-05,0.0,6.357372007095136e-05
r[q95]/r[kappa],q95 / kappa,short,0.00021932282944847408,0.00027249109625262087,0.8048807189103324,0.0,-0.010338324523911847,1.2247319707416138e-05,0.0034996170801126427,0.0,5.990360154777001e-05,0.04301253017132415,1.072976141081733e-05,0.003275631452226781,0.0,5.606959757014928e-05,,0.0,5.3658968338159833e-05
r[q95]/r[kappa],q95 / kappa,long,0.00021932282944847408,0.000750217793000075,0.29234554484693775,0.0,-0.01038661148451321,1.9458955265406957e-05,0.004411230584021533,0.0,8.33835553404189e-05,0.02528198403974008,1.704780738067574e-05,0.004128899051887287,0.0,7.804676632301057e-05,,0.0,6.2757146557642e-05
d[pcdiamag3]/d[betan],D_betaN W_dia,primary,0.1297280705536616,0.10851566667076822,1.1954778008898095,0.16351437119477494,0.9266395213529539,0.0697362773004243,0.26407627174819076,0.03708640341788859,0.1211775859611939,0.3912230955062933,0.0697362773004243,0.26407627174819076,0.034271586791328884,0.1211775859611939,0.0681946407579175,0.03721923789102169,0.09425781221981279
d[pcdiamag3]/d[betan],D_betaN W_dia,short,0.1297280705536616,0.08036330435278403,1.6142699904943294,0.38052493951536864,0.9657842892215122,0.08836906818718833,0.2972693529228809,0.0508553607088306,0.14190029779864488,0.5237232598400989,0.08166195454222094,0.2857655587054202,0.0508553607088306,0.13113022357341717,,0.055945933572034506,0.1104608112820588
d[pcdiamag3]/d[betan],D_betaN W_dia,long,0.1297280705536616,0.122154612105284,1.0619989562232008,0.05837948884967694,0.916396541771037,0.0644433716873408,0.25385699062137485,0.03167041160505321,0.1211775859611939,0.3453594212409057,0.05955219170277542,0.244033177463179,0.03167041160505321,0.11198034243540596,,0.03231460468655676,0.089019890152591
d[kappa]/d[betan],D_betaN kappa,primary,0.38177917483500406,0.14479804095761623,2.6366321830745933,0.6207282887543708,-0.9003943215011562,0.2668910444759042,0.5166149866930926,0.164064401070879,0.4003443506880436,0.6482830221133025,0.2668910444759042,0.5166149866930926,0.164064401070879,0.4003443506880436,0.2608841546813202,0.19294860360388813,0.3244482873812477
d[kappa]/d[betan],D_betaN kappa,short,0.38177917483500406,0.11066860536231662,3.449751386900574,0.7101240385619645,-0.9419175433064412,0.2894369292442045,0.5379934286254847,0.1929542011099276,0.4341638353994051,0.7234014633885225,0.2894369292442045,0.5379934286254847,0.1929542011099276,0.4341638353994051,,0.22789244489127736,0.3483761549140468
