feature,display_name,left_out_realization_index,left_out_shot,tau2_REML,tau2_interval_low
d[pcdiamag3]/d[kappa],D_kappa W_dia,0,155537,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,1,159310,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,2,160715,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,3,160717,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,4,160719,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,5,160720,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,6,160721,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,7,161136,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,8,161138,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,9,161145,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,10,161414,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,11,165017,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,12,165022,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,13,165026,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,14,165027,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,15,165028,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,16,165029,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,17,165031,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,18,165042,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,19,165043,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,20,165860,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,21,165861,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,22,165955,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,23,165965,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,24,170394,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,25,170396,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,26,170411,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,27,186997,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,28,187017,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,29,187018,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,30,187019,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,31,187020,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,32,187021,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,33,187022,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,34,187024,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,35,189646,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,36,189647,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,37,189649,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,38,189650,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,39,189651,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,40,189652,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,41,195261,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,42,195264,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,43,195265,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,44,195266,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,45,195267,0.0,0.0
d[pcdiamag3]/d[kappa],D_kappa W_dia,46,195268,0.0,0.0
