shot,n_calib,n_eval,lambda,rmse_norm,r2,n_features
155537,3824,956,0.01,0.09259194799548541,-5.504037991270302,24
159310,3988,997,0.01,0.09977926166773972,-0.8737195005552487,24
160715,3836,959,0.1,0.06255087570176315,-0.4229190949193622,24
160717,3836,959,10.0,0.34899717172907885,-13.582655882479017,24
160719,3856,964,100.0,0.37142380874264397,-29.1273013869923,24
160720,3836,959,100.0,0.3009049118401835,-11.13905058795957,24
160721,3836,959,1.0,1.1085824186816393,-468.2193437727538,24
161136,3912,978,0.001,0.13985105712973797,-1.5283023181591862,24
161138,3912,978,0.001,0.10203488255379423,-0.41535405691237637,24
161145,3912,978,0.001,0.09553356117613639,-0.2403712539644267,24
161414,4596,1149,0.001,0.19797510412485,-2.087773351090405,24
165017,3836,959,10.0,0.0801964806957955,-2.700261792909497,24
165022,3828,957,0.001,0.0465877687351406,-0.25976429608786966,24
165026,3836,959,0.001,0.05727675077538723,-0.40633737323487695,24
165027,3836,959,1.0,0.06435207603707252,-1.303905596774789,24
165028,3836,959,10.0,0.08652871886538258,-2.88956576996286,24
165029,3836,959,0.1,0.06073434470468611,-0.9125368221889993,24
165031,3836,959,100.0,0.10629032784313433,-3.4177242602909015,24
165042,3828,957,1.0,0.07623829942844093,-1.7646204335732936,24
165043,3836,959,100.0,0.08808410336276629,-2.377125939077895,24
165860,3840,960,0.1,0.0675410887931814,-3.6522578947986215,24
165861,3840,960,10.0,0.05567056005194421,-2.366550651313789,24
165955,3840,960,1.0,0.11026077220895764,-6.261508285365121,24
165965,3836,959,0.1,0.058155532800900904,-0.967590325472659,24
170394,3932,983,0.001,0.8108930015757152,-87.80654345823218,24
170396,3932,983,0.001,0.05343011322509777,-0.8289791756073293,24
170411,3932,983,0.01,0.05452389577803569,-0.360927087197239,24
186997,4712,1178,100.0,0.31429516519657,-32.15114139994165,24
187017,4724,1181,10.0,0.39219795767083154,-113.90373789847413,24
187018,4720,1180,10.0,0.10695198080316874,-8.677944890702557,24
187019,4468,1117,1.0,0.21426267562931484,-33.88372992853701,24
187020,4839,1210,100.0,0.20215270437064786,0.3973116804263347,24
187021,4720,1180,10.0,0.09914128896317671,-1.6431428182569898,24
187022,4468,1117,10.0,0.20353196520697237,-8.768100712206856,24
187024,4836,1209,0.001,0.5874880148334485,-0.2714276604344845,24
189646,3984,996,100.0,0.15160780324167883,-1.3702451615450437,24
189647,3968,992,10.0,0.12126908399538774,-1.2149660749114726,24
189649,3984,996,10.0,0.11639567656360757,-0.8847752254872072,24
189650,4193,1049,0.001,0.30465451444791986,-18.59554383693438,24
189651,4193,1049,10.0,0.27010879119565245,-17.88844582544861,24
189652,4038,1010,10.0,0.12417079658177022,-92.46640519151143,24
195261,4960,1240,1.0,0.17879528590891958,-3.661382788531527,24
195264,4943,1236,0.001,0.2333766670103052,-5.385162718697304,24
195265,4960,1240,100.0,0.3709676351112906,-10.963343256846775,24
195266,4960,1240,100.0,0.3845178762798641,-13.59418168676784,24
195267,5023,1256,100.0,0.663695089118753,-19.396969643593202,24
195268,5015,1254,100.0,0.6386159847791513,-24.348026845799208,24
195269,4960,1240,0.001,0.135681789964937,-2.362260995868237,24
195273,5028,1257,100.0,0.41899666272862496,-5.273542359109077,24
195274,4960,1240,10.0,0.2534442522819658,-8.435822839354367,24
195626,4280,1070,0.001,0.21224455529264996,-15.26346992614054,24
195638,4062,1016,0.001,0.3695387469980198,-0.880523134695099,24
195642,4074,1019,0.1,0.2612431313410013,-0.2818895383751312,24
195645,4071,1018,1.0,0.4121898760326129,-2.4033659371703693,24
195647,4075,1019,0.1,0.3068994234656402,-0.7345050462637126,24
195648,4076,1019,0.001,0.3158300302496102,-0.8097665272496419,24
195649,4073,1019,1.0,0.5464582509930818,-4.785380411728546,24
195650,4071,1018,0.1,0.636020082185727,-7.146979430254698,24
195651,4084,1021,0.001,0.993749044196247,-8.685816430587284,24
195652,4078,1020,0.001,0.4850581208397635,-1.5907370526048688,24
195655,4086,1022,100.0,0.6601019187126178,-3.11183076032321,24
195659,3280,820,0.001,0.0571798398101307,-5.632494352899937,24
