shot,n_samples,scale_factor,r2_ip_from_q95
155537,239,8462428.716961438,0.8158775372361298
159310,249,8327653.983023117,0.4255788018664819
160715,240,8267603.447888017,0.7866751241466041
160717,238,8244828.009987064,0.7347867575843106
160719,241,8311085.316663352,0.7341052324784372
160720,240,8229203.54992196,0.7432784840178226
160721,239,8228806.793064035,0.7908912018637139
161136,244,7249805.65617041,0.9405651499254551
161138,244,7277334.057358002,0.9216266258423247
161145,244,7184006.763979938,0.9524090448144709
161414,287,8761462.250626909,-0.37304142065049906
165017,240,7920438.340106899,0.8135944223622671
165022,239,7969235.341091537,0.7983352499952682
165026,240,7886237.716639992,0.7715870809579871
165027,229,7879729.703977454,0.7157634839362741
165028,240,7907044.380349514,0.7847767080771735
165029,240,7903962.953728722,0.7888920799491761
165031,240,7881147.469660389,0.7725871566375536
165042,239,7823416.107569281,0.8580143360241093
165043,240,7642179.77842351,0.8937923670635701
165860,222,7859810.889055505,0.8868613451696457
165861,240,7969160.366023737,0.857485946643024
165955,229,8365321.344212933,0.8193926195980836
165965,239,8172510.374330751,0.8146247075783646
170394,246,8329478.527429864,0.7124193534145034
170396,246,8252792.629909052,0.7378002641175441
170411,246,8310847.506743227,0.7390072339622404
186997,294,8910341.570799433,0.4647624620099353
187017,295,7405286.847401466,0.9832959291620139
187018,295,7244883.749254545,0.9788700761966513
187019,279,7505351.556172981,0.9791308991485492
187020,302,7459160.761214242,0.9482941562197837
187021,295,7251697.835354505,0.9545391754454391
187022,279,7633472.675301364,0.9289757198823738
187024,302,7650405.143590623,0.6498882199951215
189646,249,8216107.388378367,-0.563549838745423
189647,248,8597546.652254475,0.9274831362228612
189649,249,8529579.944041109,0.8870357708316933
189650,249,8676511.424972318,0.8528572131659659
189651,249,8694196.234745251,0.9568231871289768
189652,240,8775984.569442712,0.949430815921624
195261,294,8550706.411958981,0.015265632164149667
195264,293,8513703.186161865,-0.5605805636962322
195265,294,8552681.88644228,-0.3628452811537861
195266,294,8597965.188731631,-0.5249322234195957
195267,298,8701299.031165821,-0.9601556987823197
195268,298,8699199.82013207,-0.9184040705419587
195269,294,8565125.516205901,-0.4979291129119765
195273,298,8603008.049192658,-0.8028719373195468
195274,294,8539968.476324689,-0.5509302773536755
195626,267,8118788.3693172205,0.715184124152412
195638,254,8272944.696964363,0.640571866954512
195642,254,8171874.483972307,0.8875567561716925
195645,254,8118205.548852585,0.8967793845428842
195647,254,8079455.366656436,0.913861051891535
195648,254,8068174.450496016,0.9174695919296398
195649,254,8107411.0083895335,0.8359129268157178
195650,254,7981476.931661521,0.8839407231937984
195651,255,8161608.690458748,0.5443578480654157
195652,255,8183437.949318278,0.5010597517782265
195655,255,8119472.245511175,0.6295391443987268
195659,205,8049687.551145066,0.9256186472943395
