shot,signal,rel_scatter_ip_removed,abs_corr_with_ip_form
155537,q95,0.07137232619386537,0.955405364160733
155537,betan,0.47512620589122917,0.6770771006639049
155537,li,,0.06681149062096414
155537,kappa,,0.4764446260364401
155537,pcdiamag3,,0.5615540003731292
155537,pinj,,0.7045038598980047
155537,density,,0.8150453893933634
159310,q95,0.07349729628051187,0.777039656092562
159310,betan,0.5134412192799083,0.5394409122352641
159310,li,,0.750250239743417
159310,kappa,,0.608542507766814
159310,pcdiamag3,,0.3680883031643524
159310,pinj,,0.5243030520341491
159310,density,,0.6143594612146621
160715,q95,0.07326697024677949,0.9579416417735681
160715,betan,0.4979619208140233,0.6597026838165109
160715,li,,0.05845210336772521
160715,kappa,,0.5461166552172435
160715,pcdiamag3,,0.5441362580971553
160715,pinj,,0.7066809459297266
160715,density,,0.7517164867267344
160717,q95,0.08607845609403281,0.931071983396768
160717,betan,0.5117693897118166,0.6428875756571296
160717,li,,0.034050631797961285
160717,kappa,,0.5077741190433329
160717,pcdiamag3,,0.5281254499492087
160717,pinj,,0.6885830352352259
160717,density,,0.6461362233350865
160719,q95,0.08338370649284753,0.9481028972252549
160719,betan,0.493087616264261,0.6644857541830438
160719,li,,0.07719222131049792
160719,kappa,,0.5440745176931233
160719,pcdiamag3,,0.5555872306063492
160719,pinj,,0.6998127339580048
160719,density,,0.6988525927944146
160720,q95,0.08491190614101858,0.9369066637204329
160720,betan,0.4990108013709504,0.654043506085253
160720,li,,0.05521983028766441
160720,kappa,,0.5223081323152019
160720,pcdiamag3,,0.5364114316131904
160720,pinj,,0.6762510692602904
160720,density,,0.6048668165201486
160721,q95,0.07575460923176638,0.9515787128746925
160721,betan,0.4865699672172878,0.6763881227776614
160721,li,,0.08334002096770698
160721,kappa,,0.5111698751918727
160721,pcdiamag3,,0.5537070326403265
160721,pinj,,0.6696604573588506
160721,density,,0.7427704170734029
161136,q95,0.04545343795284564,0.9775644563397582
161136,betan,0.48269762299315727,0.726344581888162
161136,li,,0.9086752359041856
161136,kappa,,0.4186436647332501
161136,pcdiamag3,,0.21150302053591435
161136,pinj,,0.6950012892797864
161136,density,,0.7358483089545655
161138,q95,0.052486511484316455,0.9640811218466486
161138,betan,0.47875567368726785,0.7417695119923853
161138,li,,0.9332356456426528
161138,kappa,,0.31905279530287955
161138,pcdiamag3,,0.3527541923324899
161138,pinj,,0.6952144745803109
161138,density,,0.7582809088273683
161145,q95,0.04536149393500493,0.9719073513842954
161145,betan,0.4578910127706475,0.7568452437060827
161145,li,,0.9287242894306527
161145,kappa,,0.32860540339284133
161145,pcdiamag3,,0.14222463217884593
161145,pinj,,0.6887205776438721
161145,density,,0.7487287305106943
161414,q95,0.09245106203674955,0.5378888092596926
161414,betan,0.4622253022035239,0.5429034861195563
161414,li,,0.5587063736645693
161414,kappa,,0.7787652765058172
161414,pcdiamag3,,0.4208387762960603
161414,pinj,,0.47475090986201507
161414,density,,0.6270291644862258
165017,q95,0.06277646380864035,0.9458349609589772
165017,betan,0.4532444187359799,0.7162566563665351
165017,li,,0.35733797137207207
165017,kappa,,0.22799690734523234
165017,pcdiamag3,,0.5239381326210157
165017,pinj,,0.7284007959415644
165017,density,,0.7745998662876473
165022,q95,0.06606276181854227,0.9404267814159151
165022,betan,0.4772840348354919,0.6823080531270659
165022,li,,0.30364210837281924
165022,kappa,,0.19541503373880004
165022,pcdiamag3,,0.5432634229996475
165022,pinj,,0.745839430799206
165022,density,,0.8181349864141815
165026,q95,0.06897394830380384,0.9402975707909426
165026,betan,0.48619978859843643,0.6687972005332705
165026,li,,0.30757096166618475
165026,kappa,,0.18817655071923844
165026,pcdiamag3,,0.5231528518784094
165026,pinj,,0.7317175339462423
165026,density,,0.7936041607271792
165027,q95,0.10946096456539403,0.9235860081538728
165027,betan,0.5045693889101238,0.6673236778523276
165027,li,,0.00020513153188264974
165027,kappa,,0.5800571730980907
165027,pcdiamag3,,0.5280165441514261
165027,pinj,,0.7372826796727204
165027,density,,0.8053878431691205
165028,q95,0.06539194137573899,0.945140912108139
165028,betan,0.4773747122285313,0.680353934266293
165028,li,,0.20710869672062668
165028,kappa,,0.19041759914023265
165028,pcdiamag3,,0.4999545181200848
165028,pinj,,0.7373529826746252
165028,density,,0.7925479375007651
165029,q95,0.06562127711557168,0.9449437096684389
165029,betan,0.49441836486350854,0.6747849495008642
165029,li,,0.37125218319512254
165029,kappa,,0.0990795195158762
165029,pcdiamag3,,0.5377544398022771
165029,pinj,,0.7384633436739529
165029,density,,0.8133865697024205
165031,q95,0.06971696723195572,0.9357580016527358
165031,betan,0.49872019363702275,0.6668645112291395
165031,li,,0.24141367929755853
165031,kappa,,0.2572133018845669
165031,pcdiamag3,,0.5102637042386152
165031,pinj,,0.7328655273320165
165031,density,,0.7929353952101332
165042,q95,0.055795596043025086,0.9524757688624579
165042,betan,0.46242177570096743,0.7086235129246565
165042,li,,0.44206184835992135
165042,kappa,,0.058561102132853676
165042,pcdiamag3,,0.532998113800398
165042,pinj,,0.7026782888197729
165042,density,,0.7573363766935213
165043,q95,0.05067432901061376,0.9582111480418034
165043,betan,0.45082849978634687,0.7120670144779941
165043,li,,0.48684107608112626
