representation,feature,primitives,target_dependent_primitives,admissible
REL10,PROD_pcdiamag3_q95,pcdiamag3;q95,q95,False
REL10,L_q95,q95,q95,False
REL10,CU_pcdiamag3,pcdiamag3,,True
REL10,L_density,density,,True
REL10,PROD_pcdiamag3_density,pcdiamag3;density,,True
REL10,L_pcdiamag3,pcdiamag3,,True
REL10,PROD_q95_li,q95;li,q95;li,False
REL10,CU_li,li,li,False
REL10,CU_q95,q95,q95,False
REL10,L_kappa,kappa,kappa,False
RAW10,Z_q95,q95,q95,False
RAW10,L_q95,q95,q95,False
RAW10,Z_density,density,,True
RAW10,L_density,density,,True
RAW10,L_pcdiamag3,pcdiamag3,,True
RAW10,Z_pcdiamag3,pcdiamag3,,True
RAW10,Z_pinj,pinj,,True
RAW10,L_pinj,pinj,,True
RAW10,Z_kappa,kappa,kappa,False
RAW10,L_kappa,kappa,kappa,False
